University Name,State,Country,Course Name,Average Fees (Per Year),Currency
"Northeastern University, Boston",Massachusetts,United States,MS in Electrical and Computer Engineering Leadership,28800.0,USD
"Northeastern University, Boston",Massachusetts,United States,MS in Electrical and Computer Engineering,29824.0,USD
University of Southern California,California,United States,MS in Electrical and Computer Engineering (Machine Learning and Data Science),40688.0,USD
University of Southern California,California,United States,MS in Electrical and Computer Engineering- Machine learning and Data Science,49259.0,USD
Georgia Institute of Technology,Georgia,United States,MS in Electrical and Computer Engineering,28460.0,USD
University of Texas at Austin,Texas,United States,MS in Electrical and Computer Engineering,21460.0,USD
Purdue University West Lafayette,Indiana,United States,MS in Electrical and Computer Engineering (Project Track),27030.0,USD
Purdue University West Lafayette,Indiana,United States,MS in Electrical and Computer Engineering - Thesis Track,27030.0,USD
University of Illinois at Chicago,Illinois,United States,MS in Electrical and Computer Engineering - Thesis,23310.0,USD
Carnegie Mellon University,Pennsylvania,United States,MS in Electrical and Computer Engineering,57436.0,USD
"University of California, San Diego",California,United States,MS in Electrical and Computer Engineering,27366.0,USD
"University of Maryland, College Park",Maryland,United States,MS in Electrical and Computer Engineering,36100.0,USD
"The University of British Columbia, Vancouver",British Columbia,Canada,MEng in Electrical and Computer Engineering,25109.0,CAD
"The University of British Columbia, Vancouver",British Columbia,Canada,MASc in Electrical and Computer Engineering,9690.0,CAD
"University of Michigan, Ann Arbor",Michigan,United States,MS in Electrical and Computer Engineering,108840.0,USD
"University of Michigan, Ann Arbor",Michigan,United States,MEng in Electrical and Computer Engineering,94328.0,USD
Illinois Institute of Technology,Illinois,United States,MASc in Electrical and Computer Engineering,51360.0,USD
University of Florida,Florida,United States,MS in Electrical and Computer Engineering,30134.0,USD
University of Illinois at Urbana-Champaign,Illinois,United States,MS in Electrical and Computer Engineering,37524.0,USD
University of Illinois at Urbana-Champaign,Illinois,United States,MEng in Electrical and Computer Engineering,37524.0,USD
"University of California, Berkeley",California,United States,MEng in Electrical Engineering and Computer Sciences,24508.0,USD
"University of California, Los Angeles",California,United States,MS in Electrical and Computer Engineering,27366.0,USD
"University of California, Irvine",California,United States,MS in Electrical and Computer Engineering,27366.0,USD
"University of California, Irvine",California,United States,MS in Electrical and Computer Engineering,26544.0,USD
"University of Minnesota, Twin Cities",Minnesota,United States,MS in Electrical and Computer Engineering (Coursework),21120.0,USD
"Rutgers University, New Brunswick",New Jersey,United States,MS in Electrical and Computer Engineering,42150.0,USD
University of Toronto,Ontario,Canada,MEng in Electrical and Computer Engineering,68670.0,CAD
University of Toronto,Ontario,Canada,MASc in Electrical and Computer Engineering,30350.0,CAD
Massachusetts Institute of Technology,Massachusetts,United States,MS in Electrical Engineering and Computer Science,61990.0,USD
