University Name,State,Country,Course Name,Average Fees (Per Year),Currency
New York University,New York,United States,MA in International Relations,41480.0,USD
"University of California, San Diego",California,United States,Masters in International Affairs,24509.0,USD
"University of California, San Diego",California,United States,Masters in Advanced Studies International Affairs,,USD
Arizona State University,Arizona,United States,Masters in Global Management (Sustainability Solutions),35000.0,USD
Arizona State University,Arizona,United States,Masters in Global Management,35000.0,USD
Arizona State University,Arizona,United States,MGM in Global Management (Digital Audience Strategy),35000.0,USD
Arizona State University,Arizona,United States,Masters in Global Management (Global Digital Transformation),35000.0,USD
Arizona State University,Arizona,United States,MGM in Global Management (Integrated Health Care),35000.0,USD
Arizona State University,Arizona,United States,MGM in Global Management (Global Affairs),35000.0,USD
Arizona State University,Arizona,United States,MGM in Global Management (Nonprofit Leadership and Management),35000.0,USD
Arizona State University,Arizona,United States,Masters in Global Management (Sustainable Tourism),35000.0,USD
Arizona State University,Arizona,United States,Masters in Global Management (Global Development and Innovation),35000.0,USD
Arizona State University,Arizona,United States,Masters in International Affairs and Leadership,26460.0,USD
Illinois Institute of Technology,Illinois,United States,Masters in International Affairs and Global Enterprise,,USD
Pennsylvania State University,Pennsylvania,United States,Masters in International Affairs,41602.0,USD
Syracuse University,New York,United States,MA in International Relations,56301.0,USD
University of Wisconsin-Madison,Wisconsin,United States,Masters in International Relations,34094.0,USD
Johns Hopkins University,Maryland,United States,MA in International Affairs,42560.0,USD
University of Ottawa,Ottawa,Canada,MA in Public and International Affairs,25719.0,CAD
York University,Toronto,Canada,Masters in International and Public Affairs,15688.0,CAD
The George Washington University,District of Columbia,United States,MA in International Affairs,43600.0,USD
Florida State University,Florida,United States,MS in International Affairs,35000.0,USD
State University of New York (Albany),New York,United States,Masters in International Affairs,,USD
"University of Massachusetts, Boston",Massachusetts,United States,Masters in International Relations,35980.0,USD
The University of Melbourne,Victoria,Australia,MC-IR in International Relations,39032.0,AUD
The University of Chicago,Illinois,United States,MA in International Relations,65145.0,USD
San Francisco State University,California,United States,MA in International Relations,17903.0,USD
