University Name,State,Country,Course Name,Average Fees (Per Year),Currency
Georgia Institute of Technology,Georgia,United States,MBA in Business Analytics,40826.0,USD
University at Buffalo SUNY,New York,United States,Masters in Business Administration,26220.0,USD
The University of Texas at Arlington,Texas,United States,Masters in Business Administartion,37958.0,USD
San Jose State University,California,United States,Masters in Business Administration (Professional),19635.0,USD
San Jose State University,California,United States,MBA in Business Administration (Early Career),41704.0,USD
University of Illinois at Chicago,Illinois,United States,Masters in Business Administration,47274.0,USD
Carnegie Mellon University,Pennsylvania,United States,Masters in Business Administration,86528.0,USD
"University of California, San Diego",California,United States,MBA in Business Administration,47210.0,USD
"The University of British Columbia, Vancouver",British Columbia,Canada,MBA in Business Administration,74652.0,CAD
Arizona State University,Arizona,United States,Masters in Business Administration (Information Systems Management),60006.0,USD
Arizona State University,Arizona,United States,Masters in Business Administration,60006.0,USD
University of North Carolina at Charlotte,North Carolina,United States,MBA in Business Administration,50904.0,USD
University of Illinois at Urbana-Champaign,Illinois,United States,MBA in Business Administration,37316.0,USD
"University of California, Los Angeles",California,United States,MBA in Business Administration,42814.0,USD
"University of Minnesota, Twin Cities",Minnesota,United States,Masters in Business Administration,54000.0,USD
"Rutgers University, New Brunswick",New Jersey,United States,MBA in Executive MBA,42596.0,USD
University of Colorado Boulder,Colorado,United States,MBA in Executive Business Administration,46857.0,USD
Rochester Institute of Technology,New York,United States,Masters in Business Administration,54168.0,USD
Rochester Institute of Technology,New York,United States,Masters in Business Administration–Accounting,54168.0,USD
University of South Florida,Florida,United States,MBA in Business Administration (Professional),32000.0,USD
Northwestern University,Illinois,United States,Masters in Business & Artificial Intelligence (MBAi),117060.0,USD
"University of California, Davis",California,United States,MBA in Business Administration - STEM,59859.0,USD
McGill University,Montreal,Canada,Masters in Business Administration Japan Management (Non-Thesis),70721.0,CAD
McGill University,Montreal,Canada,Masters in Business Administration,102500.0,CAD
"California State University, Fullerton",California,United States,MBA in Business Administration,20430.0,USD
"California State University, Long Beach",California,United States,MBA in Business Administration,26057.0,USD
George Mason University,Virginia,United States,Masters in Business Administration,52398.0,USD
University of Alberta,Alberta,Canada,Masters in Executive MBA,45463.0,CAD
Concordia University,Montreal,Canada,Masters in Executive Business Administration,50898.0,CAD
Santa Clara University,California,United States,Masters in Business Administration (STEM),43190.0,USD
Santa Clara University,California,United States,Masters in MBA,43190.0,USD
Colorado State University,Colorado,United States,MBA in Impact Business Administration,30859.0,USD
"California State University, Los Angeles",California,United States,MBA in  Business Administration,13302.0,USD
"California State University, East Bay",California,United States,MBA in Business Administration,22500.0,USD
"California State University, East Bay",California,United States,MBA in Intensive MBA,32780.0,USD
"University of California,  Riverside",California,United States,Masters in Business Administration - Professional,70857.0,USD
The University of Utah,Utah,United States,Masters in Business Administration,34000.0,USD
Simon Fraser University,British Columbia,Canada,Masters in Business Administration,64004.0,CAD
University of Dayton,Ohio,United States,Masters in Business Administration,22900.0,USD
State University of New York at Binghamton,New York,United States,MBA in Business Administration,27590.0,USD
"University of Michigan, Dearborn",Michigan,United States,MBA in Business Administration,29520.0,USD
Queen's University,Kingston,Canada,MBA in Business Administration,105100.0,CAD
"California State University, Sacramento",California,United States,MBA in Business Administration,25333.0,USD
"California State University, Sacramento",California,United States,MBA in Business Administration for Executives,33140.0,USD
University of Pittsburgh,Pennsylvania,United States,MBA in Business Analytics,56772.0,USD
University of Pittsburgh,Pennsylvania,United States,MBA in Signature MBA,54004.0,USD
Oklahoma State University - Stillwater,Oklahoma,United States,MBA in Business Administration,,USD
York University,Toronto,Canada,Masters in Business Administration,74091.0,CAD
McMaster University,Hamilton,Canada,Masters in Business Administration,66647.0,CAD
McMaster University,Hamilton,Canada,MBA in Business Administration -  (WITH CO-OP),50773.0,CAD
The George Washington University,District of Columbia,United States,Masters in Global STEM MBA,62488.0,USD
Oregon State University,Oregon,United States,MBA in Business Administration,68355.0,USD
Indiana University - Purdue University Indianapolis,Indiana,United States,MBA in Business Administration,56548.0,USD
Toronto Metropolitan University,Ontario,Canada,Masters in  Business Administration,50617.0,CAD
Northern Illinois University,Illinois,United States,MBA in Business Administration (Global),37000.0,USD
Florida State University,Florida,United States,MBA in Business Administration,43318.0,USD
University of Connecticut,Connecticut,United States,MBA in Flex - MBA,23100.0,USD
"New York Institute of Technology, NY Campus",New York,United States,Masters in Business Administration,46200.0,USD
"New York Institute of Technology, Manhattan",New York,United States,Masters in Master of Business Administration – Business Analytics,26460.0,USD
"California State University, Fresno",California,United States,Masters in Business Administration,16344.0,USD
State University of New York (Albany),New York,United States,MBA in Business Administration,30093.0,USD
Drexel University,Pennsylvania,United States,MBA in Accelerated Full-Time Business Administration (MBA),67865.0,USD
Drexel University,Pennsylvania,United States,MBA in Business Administration,67718.0,USD
The University of Melbourne,Victoria,Australia,MBA in Business Administration,53325.0,AUD
The University of Melbourne,Victoria,Australia,MS in Business Administration,44750.0,AUD
"University of Missouri, Kansas City",Missouri,United States,MBA in Business Administration,25200.0,USD
The University of Chicago,Illinois,United States,MBA in Executive MBA,116829.0,USD
Kansas State University,Kansas,United States,Masters in Business Administration,24168.0,USD
San Francisco State University,California,United States,MBA in Business Administration - Fast Track,35000.0,USD
Wichita State University,Kansas,United States,MBA in Business Administration - Executive,13581.0,USD
Wichita State University,Kansas,United States,MS in Business Administration,13608.0,USD
Lakehead University,Thunder Bay,Canada,MBA in Business Administration,42000.0,CAD
Lakehead University,Thunder Bay,Canada,MBA in Advanced Studies in Management,38195.0,CAD
Lakehead University,Ontario,Canada,MBA in Business Administration,37800.0,CAD
National University Of Singapore,Singapore,Singapore,Masters in Business Administration,66782.0,SGD
University of Massachusetts Lowell,Massachusetts,United States,Masters in Business Administration,27706.0,USD
"California State University, Chico",California,United States,Masters in Business Administration,23600.0,USD
University of San Francisco,California,United States,MBA in Business Administration,40800.0,USD
University of Illinois at Springfield,Illinois,United States,Masters in Business Administration,40920.0,USD
Lehigh University,Pennsylvania,United States,MBA in One-Year MBA,68900.0,USD
University of Alabama at Birmingham,Alabama,United States,MBA in Business Administration,44028.0,USD
