University Name,State,Country,Course Name,Average Fees (Per Year),Currency
"Northeastern University, Boston",Massachusetts,United States,MPH in Public Health,38100.0,USD
"Texas A&M University, College Station",Texas,United States,Masters in Public Health,15492.0,USD
University of Southern California,California,United States,Masters in Public Health,53403.0,USD
The University of Texas at Arlington,Texas,United States,Masters in Public Health,23486.0,USD
New York University,New York,United States,Masters in Public Health,46529.0,USD
New York University,New York,United States,MPH in Epidemiology,51267.0,USD
San Jose State University,California,United States,MPH in Public Health,20664.0,USD
University of Illinois at Chicago,Illinois,United States,MPH in Public Health,29256.0,USD
"University of Maryland, College Park",Maryland,United States,MPH in Epidemiology,41513.0,USD
"The University of British Columbia, Vancouver",British Columbia,Canada,Masters in Public Health,20525.0,CAD
"The University of British Columbia, Vancouver",British Columbia,Canada,MSc in Population and Public Health,9313.0,CAD
Arizona State University,Arizona,United States,MA in Global Health,23160.0,USD
University of North Carolina at Charlotte,North Carolina,United States,MPH in Public Health,24525.0,USD
"University of Michigan, Ann Arbor",Michigan,United States,Masters in Public Health,103410.0,USD
Illinois Institute of Technology,Illinois,United States,Masters in Dental Public Health,,USD
University of Florida,Florida,United States,Masters in Public Health,32684.0,USD
Columbia University,New York,United States,MPH in Public Health,45214.0,USD
University of Illinois at Urbana-Champaign,Illinois,United States,MPH in Public Health,32760.0,USD
"University of California, Berkeley",California,United States,Masters in Public Health,23944.0,USD
Pennsylvania State University,Pennsylvania,United States,Masters in Public Health,65806.0,USD
"University of California, Los Angeles",California,United States,MPH in Public Health for Health Professionals,38024.0,USD
"University of Minnesota, Twin Cities",Minnesota,United States,MPH in Public Health - Epidemiology,34920.0,USD
University of Pennsylvania,Pennsylvania,United States,Masters in Public Health,33978.0,USD
University of Washington,Washington,United States,MPH in Global Health,41331.0,USD
"Rutgers University, New Brunswick",New Jersey,United States,Masters in Public Health,33390.0,USD
University of Toronto,Ontario,Canada,MPH in Public Health,30195.0,CAD
Virginia Tech,Virginia,United States,MPH in Public Health,35805.0,USD
Stony Brook University,New York,United States,Masters in Public Health,27540.0,USD
University of Cincinnati,Ohio,United States,Masters in Public Health,27993.0,USD
University of Waterloo,Ontario,Canada,MSc in Public Health Sciences,25537.0,CAD
University of Waterloo,Ontario,Canada,Masters in Public Health,32478.0,CAD
University of Massachusetts Amherst,Massachusetts,United States,MPH in Public Health: Epidemiology,31122.0,USD
Cornell University,New York,United States,MPH in Public Health,42688.0,USD
University of South Florida,Florida,United States,MPH in Public Health,18501.0,USD
University of South Florida,Florida,United States,MS in Public Health,19733.0,USD
