University Name,State,Country,Course Name,Average Fees (Per Year),Currency
"Northeastern University, Boston",Massachusetts,United States,MS in Software Engineering Systems,28816.0,USD
The University of Texas at Dallas,Texas,United States,MS in Software Engineering,30129.0,USD
The University of Texas at Dallas,Texas,United States,MS in Executive Software Engineering,23952.0,USD
University of Southern California,California,United States,MS in Computer Science- Data science,49259.0,USD
University of Texas at Austin,Texas,United States,Masters in Software Engineering,17000.0,USD
The University of Texas at Arlington,Texas,United States,MS in Software Engineering,26360.0,USD
San Jose State University,California,United States,MS in Software Engineering,17226.0,USD
San Jose State University,California,United States,MS in Software Engineering Specialization in Cybersecurity,17000.0,USD
Carnegie Mellon University,Pennsylvania,United States,MS in Software Management,86154.0,USD
Carnegie Mellon University,Pennsylvania,United States,Masters in Software Engineering - Embedded Systems,54556.0,USD
Carnegie Mellon University,Pennsylvania,United States,Masters in Software Engineering,57644.0,USD
Carnegie Mellon University,Pennsylvania,United States,MS in Software Engineering,36860.0,USD
"University of Maryland, College Park",Maryland,United States,MEng in Software Engineering,23500.0,USD
Arizona State University,Arizona,United States,MS in Software Engineering,32100.0,USD
Pennsylvania State University,Pennsylvania,United States,Masters in Software Engineering,33786.0,USD
"University of California, Irvine",California,United States,MS in Software Engineering,27435.0,USD
"University of California, Irvine",California,United States,Masters in Software Engineering,43840.0,USD
"University of Minnesota, Twin Cities",Minnesota,United States,MS in Software Engineering,15840.0,USD
University of Cincinnati,Ohio,United States,MEng in Software Engineering,39990.0,USD
New Jersey Institute of Technology,New Jersey,United States,MS in Software Engineering,35200.0,USD
Rochester Institute of Technology,New York,United States,MS in Software Engineering,44334.0,USD
Rochester Institute of Technology,New York,United States,MS in Software engineering (Capstone option),40626.0,USD
Stevens Institute of Technology,New Jersey,United States,MS in Software Engineering,42828.0,USD
"University of Maryland, Baltimore County",Maryland,United States,Masters in Software Engineering,20280.0,USD
"California State University, Fullerton",California,United States,MS in Accelerated Software Engineering,22556.0,USD
George Mason University,Virginia,United States,MS in Software Engineering,29720.0,USD
Concordia University,Montreal,Canada,MASc in Software Engineering,21549.0,CAD
Concordia University,Montreal,Canada,MEng in Software Engineering,18363.0,CAD
Harvard University,Massachusetts,United States,Masters in Software Engineering,18600.0,USD
Santa Clara University,California,United States,Masters in Software Engineering,,USD
Technical University of Munich,Bavaria,Germany,MSc in Software Engineering,170.0,EUR
Technical University of Munich,Bavaria,Germany,Masters in Automotive Software Engineering,,EUR
The University of Utah,Utah,United States,Masters in Software Development,43212.0,USD
Texas Tech University,Texas,United States,MS in Software and Security Engineering,19460.0,USD
Texas Tech University,Texas,United States,Masters in Software Engineering,17512.0,USD
Cleveland State University,Ohio,United States,MS in Software Engineering - Non Thesis,20960.0,USD
"University of Michigan, Dearborn",Michigan,United States,MS in Software Engineering,32800.0,USD
"California State University, Sacramento",California,United States,MS in Software Engineering,20880.0,USD
McMaster University,Hamilton,Canada,MEng in Computing and Software,24998.0,CAD
McMaster University,Hamilton,Canada,MASc in Software Engineering,17097.0,CAD
Auburn University,Alabama,United States,MS in Computer Science and Software Engineering,30294.0,USD
University of Houston - Clear Lake,Texas,United States,MS in Software Engineering,19400.0,USD
