University Name,State,Country,Course Name,Average Fees (Per Year),Currency
"Northeastern University, Boston",Massachusetts,United States,MS in Artificial Intelligence,28560.0,USD
University of Southern California,California,United States,MS in Computer Science - Artificial Intelligence,38784.0,USD
University at Buffalo SUNY,New York,United States,MS in Engineering Science (Artificial Intelligence),30330.0,USD
San Jose State University,California,United States,MS in Artificial Intelligence,17226.0,USD
Carnegie Mellon University,Pennsylvania,United States,MS in Artificial Intelligence,57436.0,USD
Carnegie Mellon University,Pennsylvania,United States,MS in Artificial Intelligence Engineering - Mechanical Engineering,57436.0,USD
Carnegie Mellon University,Pennsylvania,United States,MS in Artificial Intelligence Engineering - Information Security,54700.0,USD
Carnegie Mellon University,Pennsylvania,United States,MS in Artificial Intelligence and Innovation,69750.0,USD
Carnegie Mellon University,Pennsylvania,United States,MS in Artificial Intelligence,49147.0,USD
Carnegie Mellon University,Pennsylvania,United States,MS in Artificial Intelligence,49147.0,USD
Carnegie Mellon University,Pennsylvania,United States,MS in Artificial Intelligence,49147.0,USD
Illinois Institute of Technology,Illinois,United States,MASc in Artificial Intelligence,34240.0,USD
Illinois Institute of Technology,Illinois,United States,MEng in Artificial Intelligence for Computer Vision and Control,34240.0,USD
University of Florida,Florida,United States,MS in Artificial Intelligent Systems,30134.0,USD
"University of California, Los Angeles",California,United States,MEng in Artificial Intelligence,33238.0,USD
University of Toronto,Ontario,Canada,MSc in Applied Computing- Artificial Intelligence in Healthcare,58496.0,CAD
Stony Brook University,New York,United States,MS in Engineering Artificial Intelligence,20400.0,USD
University of Cincinnati,Ohio,United States,MEng in Artificial Intelligence,39990.0,USD
New Jersey Institute of Technology,New Jersey,United States,MS in Artificial Intelligence,35200.0,USD
Rochester Institute of Technology,New York,United States,MS in Artificial Intelligence,36945.0,USD
Stevens Institute of Technology,New Jersey,United States,MEng in Applied Artificial Intelligence,42828.0,USD
Stevens Institute of Technology,New Jersey,United States,MS in Applied Artificial Intelligence,47580.0,USD
Northwestern University,Illinois,United States,MS in Artificial Intelligence,88000.0,USD
Boston University,Massachusetts,United States,MS in Artificial Intelligence,63798.0,USD
Iowa State University,Iowa,United States,MS in Artificial Intelligence,25560.0,USD
University of North Texas,Texas,United States,MS in Artificial Intelligence,23414.0,USD
Duke University,North Carolina,United States,MEng in Artificial Intelligence,75877.0,USD
"University of Michigan, Dearborn",Michigan,United States,MS in Artificial Intelligence,32800.0,USD
York University,Toronto,Canada,MM in Artificial Intelligence,88350.0,CAD
Oregon State University,Oregon,United States,MS in Artificial Intelligence,25785.0,USD
Toronto Metropolitan University,Toronto,Canada,MEng in Artificial Intelligence,28389.0,CAD
Worcester Polytechnic Institute,Massachusetts,United States,MS in Artificial Intelligence (AI),24150.0,USD
Worcester Polytechnic Institute,Massachusetts,United States,MS in Artificial Intelligence (AI),24150.0,USD
San Francisco State University,California,United States,MS in Data Science and Artificial Intelligence,21700.0,USD
Wayne State University,Michigan,United States,MS in Artificial Intelligence,30077.0,USD
Kent State University,Ohio,United States,MS in Artificial Intelligence,15990.0,USD
DePaul University,Illinois,United States,MS in Artificial Intelligence,22920.0,USD
Imperial College London,London,United Kingdom,MSc in Artificial Intelligence,41750.0,GBP
Monash University,Victoria,Australia,Masters in Artificial Intelligence,49500.0,AUD
University of Texas at San Antonio,Texas,United States,MS in Artificial Intelligence,32500.0,USD
Nanyang Technological University,Singapore,Singapore,MS in Artificial Intelligence,54300.0,SGD
University of Georgia,Georgia,United States,MS in Artificial Intelligence,21000.0,USD
Memorial University of Newfoundland,Newfoundland & Labrador,Canada,Masters in Artificial Intelligence,22517.0,CAD
Deakin University,Victoria,Australia,Masters in Applied Artificial Intelligence,39800.0,AUD
Deakin University,Victoria,Australia,Masters in Applied Artificial Intelligence (Professional),39800.0,AUD
RMIT University,Victoria,Australia,Masters in Artificial Intelligence,39360.0,AUD
University of Bridgeport,Connecticut,United States,Masters in Artificial Intelligence,17765.0,USD
Technische Universität Darmstadt,Hesse,Germany,MSc in Artificial Intelligence and Machine Learning,,EUR
The University of Edinburgh,Edinburgh,United Kingdom,MSc in Artificial Intelligence,40900.0,GBP
Lawrence Technological University,Michigan,United States,MS in Artificial Intelligence,44400.0,USD
University of Guelph,Ontario,Canada,MSc in Computer Science - Artificial Intelligence,20511.0,CAD
Friedrich-Alexander-Universität Erlangen-Nürnberg,Bavaria,Germany,MSc in Artificial Intelligence,,EUR
Laval University,Quebec,Canada,MSc in Informatics - Artificial Intelligence,17933.0,CAD
Saarland University,Saarland,Germany,MSc in Data Science and Artificial Intelligence,,EUR
The University of Adelaide,South Australia,Australia,Masters in Artificial Intelligence and Machine Learning,51000.0,AUD
University of Warwick,Coventry,United Kingdom,"MSc in Smart, Connected and Autonomous Vehicles",31450.0,GBP
"Curtin University, Perth",Western Australia,Australia,Masters in Artificial Intelligence,33005.0,AUD
Eindhoven University of Technology,North Brabant,Netherlands,MSc in Artificial Intelligence Engineering Systems,16700.0,EUR
University of Technology Sydney,New South Wales,Australia,Masters in Artificial Intelligence,50976.0,AUD
"Long Island University, Brooklyn",New York,United States,MS in Artificial Intelligence,20685.0,USD
King's College London,London,United Kingdom,MSc in Artificial Intelligence,35244.0,GBP
University of Amsterdam,Amsterdam,Netherlands,MSc in Artificial Intelligence,17380.0,EUR
La Trobe University,Melbourne,Australia,Masters in Artificial Intelligence,39400.0,AUD
The University of Manchester,Manchester,United Kingdom,MSc in Artificial Intelligence,33000.0,GBP
Chalmers University of Technology,Stockholms l'n,Sweden,MSc in Data Science and Artificial Intelligence,160000.0,SEK
Macquarie University,New South Wales,Australia,Masters in Intelligence,41400.0,AUD
Florida Atlantic University,Florida,United States,MS in Artificial Intelligence,20540.0,USD
Queen Mary University of London,London,United Kingdom,MSc in Artificial Intelligence,31850.0,GBP
Queen Mary University of London,London,United Kingdom,MSc in Machine Learning for Visual Data Analytics,28900.0,GBP
Queen Mary University of London,London,United Kingdom,MSc in Artificial Intelligence and Machine Learning in Science,28900.0,GBP
University of Canterbury,Canterbury,New Zealand,Masters in Artificial Intelligence,63300.0,NZ
University of Groningen,Groningen,Netherlands,MSc in Artificial Intelligence,24200.0,EUR
University of Birmingham,Birmingham,United Kingdom,MSc in Artificial Intelligence and Machine Learning,31410.0,GBP
Tokyo Institute of Technology,Tokyo,Japan,Masters in Artificial Intelligence,635400.0,JP
Cardiff University,Cardiff,United Kingdom,MSc in Artificial Intelligence,30200.0,GBP
Loughborough University,Leicestershire,United Kingdom,MSc in Artificial Intelligence,28750.0,GBP
Loughborough University,Leicestershire,United Kingdom,MSc in Artificial Intelligence and Data Analytics,27950.0,GBP
University of Bremen,Bremen,Germany,MSc in Artificial Intelligence and Intelligent Systems,700.0,EUR
Fairfax University of America,Virginia,United States,MS in Artificial Intelligence and Machine Learning,13068.0,USD
Saint Louis University,Missouri,United States,MS in Artificial Intelligence,21000.0,USD
The University of Sheffield,Sheffield,United Kingdom,MSc in Autonomous and Intelligent Systems,29700.0,GBP
The University of Sheffield,Sheffield,United Kingdom,MSc in Artificial Intelligence,31000.0,GBP
