University Name,State,Country,Course Name,Average Fees (Per Year),Currency
"Northeastern University, Boston",Massachusetts,United States,Masters in Architecture - Three-Year Track,65659.0,USD
"Northeastern University, Boston",Massachusetts,United States,Masters in Architecture,67626.0,USD
"Texas A&M University, College Station",Texas,United States,Masters in Architecture,50985.0,USD
University of Southern California,California,United States,MArch in Architecture,47080.0,USD
University of Southern California,California,United States,Masters in Advanced Architectural Studies,42735.0,USD
Georgia Institute of Technology,Georgia,United States,MS in Architecture,36450.0,USD
Georgia Institute of Technology,Georgia,United States,Masters in Architecture,41430.0,USD
University of Texas at Austin,Texas,United States,Masters in Architecture,68576.0,USD
University of Texas at Austin,Texas,United States,Masters in Architecture,19286.0,USD
University of Texas at Austin,Texas,United States,Masters in Architecture,19286.0,USD
University of Texas at Austin,Texas,United States,Masters in Architecture,19286.0,USD
University at Buffalo SUNY,New York,United States,Masters in Architecture,26520.0,USD
The University of Texas at Arlington,Texas,United States,MArch in Architecture,23486.0,USD
"North Carolina State University, Raleigh",North Carolina,United States,MArch in Architecture,39244.0,USD
University of Illinois at Chicago,Illinois,United States,MArch in Architecture,25990.0,USD
Carnegie Mellon University,Pennsylvania,United States,Masters in Architecture,41000.0,USD
"University of Maryland, College Park",Maryland,United States,MA in Architecture,,USD
"The University of British Columbia, Vancouver",British Columbia,Canada,Masters in Architecture,49520.0,CAD
"The University of British Columbia, Vancouver",British Columbia,Canada,MASA in Advanced Studies in Architecture,9154.0,CAD
Arizona State University,Arizona,United States,MArch in Architecture,38520.0,USD
University of North Carolina at Charlotte,North Carolina,United States,MArch in Architecture,34620.0,USD
"University of Michigan, Ann Arbor",Michigan,United States,MArch in Architecture,55639.0,USD
"University of Michigan, Ann Arbor",Michigan,United States,MS in Architecture Design and Research,53272.0,USD
Illinois Institute of Technology,Illinois,United States,MArch in Architecture,58208.0,USD
University of Florida,Florida,United States,Masters in Architecture,30134.0,USD
Columbia University,New York,United States,Masters in Architecture,65100.0,USD
University of Illinois at Urbana-Champaign,Illinois,United States,Masters in Architecture,30910.0,USD
University of Illinois at Urbana-Champaign,Illinois,United States,MS in Architectural Studies,29034.0,USD
"University of California, Berkeley",California,United States,Masters in Advanced Architectural Design,24508.0,USD
"University of California, Berkeley",California,United States,MArch in Architecture,24508.0,USD
Pennsylvania State University,Pennsylvania,United States,Masters in Architecture,44996.0,USD
Pennsylvania State University,Pennsylvania,United States,MS in Architecture,43260.0,USD
"University of California, Los Angeles",California,United States,MS in Architecture and Urban Design,54951.0,USD
"University of California, Los Angeles",California,United States,MArch in Architecture,33238.0,USD
"University of Minnesota, Twin Cities",Minnesota,United States,MArch in Architecture,36840.0,USD
University of Pennsylvania,Pennsylvania,United States,Masters in Advanced Architectural Design,58678.0,USD
University of Pennsylvania,Pennsylvania,United States,MArch in Architecture,58678.0,USD
University of Washington,Washington,United States,MS in Arch in Design Technology,38898.0,USD
University of Washington,Washington,United States,MArch in Architecture,38898.0,USD
University of Toronto,Ontario,Canada,Masters in Architecture,51390.0,CAD
Massachusetts Institute of Technology,Massachusetts,United States,Masters in Architecture Studies - Computation,57590.0,USD
Massachusetts Institute of Technology,Massachusetts,United States,MArch in Architecture,61990.0,USD
Virginia Tech,Virginia,United States,MArch in Architecture (MArch 3),47740.0,USD
University of Cincinnati,Ohio,United States,MS in Architecture,18662.0,USD
University of Cincinnati,Ohio,United States,Masters in Architecture,43989.0,USD
University of Waterloo,Ontario,Canada,MArch in Architecture,39941.0,CAD
University of Waterloo,Ontario,Canada,MArch (Water) in Architecture,35796.0,CAD
Syracuse University,New York,United States,MArch in Architecture,57664.0,USD
Syracuse University,New York,United States,MS in Architecture,37842.0,USD
New Jersey Institute of Technology,New Jersey,United States,MS in Architecture,35200.0,USD
New Jersey Institute of Technology,New Jersey,United States,MArch in Architecture,31680.0,USD
University of Massachusetts Amherst,Massachusetts,United States,Masters in Architecture,51357.0,USD
Rochester Institute of Technology,New York,United States,Masters in Architecture,64654.0,USD
Stanford University,California,United States,Masters in Architecture,,USD
Cornell University,New York,United States,MS in Architectural Science,29500.0,USD
Cornell University,New York,United States,Masters in Architecture,65204.0,USD
Cornell University,New York,United States,MS in Architectural Science(24 Months),29500.0,USD
University of Houston,Texas,United States,Masters in Architecture Level III,35277.0,USD
University of Houston,Texas,United States,Masters in Architecture (MARCH +2),32430.0,USD
University of Houston,Texas,United States,MS in Architecture,38916.0,USD
University of Houston,Texas,United States,MArch in Architecture  (MARCH +2),32070.0,USD
University of Houston,Texas,United States,MA in Architectural studies,32070.0,USD
University of South Florida,Florida,United States,MArch in Architecture,23787.0,USD
University of Wisconsin-Madison,Wisconsin,United States,MArch in Architecture,25548.0,USD
McGill University,Montreal,Canada,Masters in Architecture,27011.0,CAD
Ohio State University,Ohio,United States,Masters in Architecture,43638.0,USD
Indiana University Bloomington,Indiana,United States,MArch in Architecture,39194.0,USD
Clemson University,South Carolina,United States,MArch in Architecture,27238.0,USD
University of Arizona,Arizona,United States,MS in Architecture,20754.0,USD
University of Arizona,Arizona,United States,MArch in Architecture II,35743.0,USD
Boston University,Massachusetts,United States,MS in Architecture,19737.0,USD
Iowa State University,Iowa,United States,MArch in Architecture,55410.0,USD
Iowa State University,Iowa,United States,MS in Architecture,33740.0,USD
Harvard University,Massachusetts,United States,MArch in Architecture,57200.0,USD
Technical University of Munich,Bavaria,Germany,MA in Architecture,14240.0,EUR
The University of Utah,Utah,United States,MArch in Architecture,31182.0,USD
The University of Utah,Utah,United States,MS in Architectural Studies,30622.0,USD
Texas Tech University,Texas,United States,MArch in Architecture,26940.0,USD
Texas Tech University,Texas,United States,MS in Architecture,16180.0,USD
Carleton University,Ottawa,Canada,MArch in Architecture,19449.0,CAD
University of Calgary,Alberta,Canada,MArch in Architecture,23730.0,CAD
Dalhousie University,Nova Scotia,Canada,Masters in Architecture,12119.0,CAD
Toronto Metropolitan University,Toronto,Canada,MArch in Architecture,28390.0,CAD
University of Virginia,Virginia,United States,MArch in Architecture,35660.0,USD
Princeton University,New Jersey,United States,MArch in Architecture,59710.0,USD
Yale University,Connecticut,United States,Masters in Architecture I,60214.0,USD
RWTH Aachen University,North Rhine-Westphilia,Germany,Masters in Architecture,,EUR
University of Colorado at Denver,Colorado,United States,MArch in Architecture,42000.0,USD
"New York Institute of Technology, NY Campus",New York,United States,"MS in Architecture, Health and Design",22050.0,USD
"New York Institute of Technology, NY Campus",New York,United States,"MS in Architecture, Computational Technologies",46200.0,USD
"New York Institute of Technology, NY Campus",New York,United States,Masters in Architecture,46200.0,USD
"New York Institute of Technology, NY Campus",New York,United States,"MS in Architecture, Urban Design",48600.0,USD
Rice University,Texas,United States,Masters in Architecture,54100.0,USD
Delft University of Technology,South Holland,Netherlands,Masters in Architecture,19600.0,EUR
The University of Melbourne,Victoria,Australia,MArch in Architecture,49088.0,AUD
Kansas State University,Kansas,United States,MS in Architecture,15105.0,USD
National University Of Singapore,Singapore,Singapore,MArch in Architecture,39474.0,SGD
Technical University of Berlin,Berlin,Germany,MSc in Architecture Typology,226.0,EUR
Washington State University,Washington,United States,MArch in Architecture,43659.0,USD
Kent State University,Ohio,United States,MArch in Architecture,23452.0,USD
Florida International University,Florida,United States,MArch in Architecture,35070.0,USD
University of Oklahoma,Oklahoma,United States,Masters in Architecture,15825.0,USD
Dartmouth College,New Hampshire,United States,Masters in Architecture,,USD
Rensselaer Polytechnic Institute,New York,United States,MS in Architectural Science,60360.0,USD
Portland State University,Oregon,United States,Masters in Architecture,27158.0,USD
Washington University in St. Louis,Missouri,United States,MS in Architectural Studies,59610.0,USD
Washington University in St. Louis,Missouri,United States,MArch in Architecture,59610.0,USD
"University of Missouri, Columbia",Missouri,United States,MS in Architectural Studies,25000.0,USD
The University of New South Wales,New South Wales,Australia,MArch in Architecture,42575.0,AUD
University of Montreal,Quebec,Canada,MArch in Architecture,26942.0,CAD
Monash University,Victoria,Australia,Masters in Architecture,47500.0,AUD
University of Wisconsin-Milwaukee,Wisconsin,United States,MS in Architecture,27690.0,USD
University of Wisconsin-Milwaukee,Wisconsin,United States,Masters in Architecture,55380.0,USD
The University of Kansas,Kansas,United States,MA in Architecture,18864.0,USD
University of Texas at San Antonio,Texas,United States,MS in Architecture,22176.0,USD
University of Manitoba,Manitoba,Canada,MArch in Architecture,7131.0,CAD
ETH Zurich,Z'rich,Switzerland,MS in MAS ETH in Architecture and Digital Fabrication,14960.0,CHF
ETH Zurich,Z'rich,Switzerland,Masters in Architecture,1460.0,CHF
University of Cambridge,Cambridgeshire,United Kingdom,MPhil in Architecture and Urban Studies,39024.0,GBP
University of Cambridge,Cambridgeshire,United Kingdom,MArch in Architecture (ARB/RIBA Part 2),34803.0,GBP
University of Cambridge,Cambridgeshire,United Kingdom,MPhil in Architecture,31860.0,GBP
University of Stuttgart,Baden-Warttemberg,Germany,MSc in Integrative Technologies and Architectural Design Research (ITECH),3000.0,EUR
University of Tennessee at Knoxville,Tennessee,United States,Masters in Architecture,33660.0,USD
University of Tennessee at Knoxville,Tennessee,United States,Masters in Architecture 3G,32698.0,USD
Deakin University,Victoria,Australia,Masters in Architecture (Research),34400.0,AUD
"Deakin University, Melbourne",Victoria,Australia,Masters in Architecture,38000.0,AUD
Temple University,Pennsylvania,United States,MFA in Glass,50460.0,USD
Temple University,Pennsylvania,United States,Masters in Architecture,47700.0,USD
"Southern Illinois University, Carbondale",Illinois,United States,Masters in Architecture,50652.0,USD
The University of Sydney,New South Wales,Australia,Masters in Architecture,44000.0,AUD
The University of Sydney,New South Wales,Australia,Masters in Heritage Conservation,45500.0,AUD
The University of Sydney,New South Wales,Australia,Masters in Architectural Science (Sustainable Design),45500.0,AUD
RMIT University,Victoria,Australia,MDes in Architecture and Design,39360.0,AUD
RMIT University,Victoria,Australia,Masters in Architecture,48000.0,AUD
Louisiana State University,Louisiana,United States,Masters in Architecture,52352.0,USD
KTH Royal Institute of Technology,Stockholms l'n,Sweden,MSc in Architecture,260000.0,SEK
Karlsruhe Institute of Technology,Baden-Warttemberg,Germany,Masters in Architecture,3000.0,EUR
University of Notre Dame,Indiana,United States,MArch in Architecture,27654.0,USD
Technische Universität Darmstadt,Hesse,Germany,MSc in Architecture,590.0,EUR
The University of Edinburgh,Edinburgh,United Kingdom,MPhil in Architecture,24800.0,GBP
The University of Edinburgh,Edinburgh,United Kingdom,MA in Architectural History and Archaeology,23100.0,GBP
The University of Edinburgh,Edinburgh,United Kingdom,Masters in Architecture,32200.0,GBP
University of Edinburgh,Edinburgh,United Kingdom,MA in Architectural History and Heritage,23100.0,GBP
"University of Nebraska, Lincoln",Nebraska,United States,MArch in Architecture,36743.0,USD
University College London,London,United Kingdom,MArch in Cinematic and Videogame Architecture,35000.0,GBP
University College London,London,United Kingdom,Masters in Architecture,31100.0,GBP
University College London,London,United Kingdom,MArch in Architectural Design,37500.0,GBP
Lawrence Technological University,Michigan,United States,MArch in Architecture,60075.0,USD
Laval University,Quebec,Canada,M. Sc in architectural sciences - urban design,15224.0,CAD
Laval University,Quebec,Canada,M. ARCH in Architecture,15224.0,CAD
The University of Queensland,Queensland,Australia,Masters in Architecture,42576.0,AUD
North Dakota State University,North Dakota,United States,Masters in Architecture,36777.0,USD
