University Name,State,Country,Course Name,Average Fees (Per Year),Currency
"Northeastern University, Boston",Massachusetts,United States,MS in Civil Engineering,28816.0,USD
"Texas A&M University, College Station",Texas,United States,MEng in Civil Engineering,25180.0,USD
"Texas A&M University, College Station",Texas,United States,MS in Civil Engineering,25180.0,USD
University of Southern California,California,United States,MS in Civil Engineering,45248.0,USD
Georgia Institute of Technology,Georgia,United States,MS in Civil Engineering,24300.0,USD
University of Texas at Austin,Texas,United States,MS in Civil Engineering,38460.0,USD
University at Buffalo SUNY,New York,United States,MS in Civil Engineering,20220.0,USD
The University of Texas at Arlington,Texas,United States,MS in Civil Engineering,26360.0,USD
The University of Texas at Arlington,Texas,United States,MEng in Civil Engineering,26360.0,USD
New York University,New York,United States,MS in Civil Engineering,42040.0,USD
San Jose State University,California,United States,MS in Civil Engineering,14760.0,USD
Purdue University West Lafayette,Indiana,United States,MS in Civil Engineering,35640.0,USD
"North Carolina State University, Raleigh",North Carolina,United States,MS in Civil Engineering,34000.0,USD
University of Illinois at Chicago,Illinois,United States,MS in Civil Engineering,23328.0,USD
"The University of British Columbia, Vancouver",British Columbia,Canada,MASc in Civil Engineering,9690.0,CAD
"The University of British Columbia, Vancouver",British Columbia,Canada,MEng in Civil Engineering,23913.0,CAD
University of North Carolina at Charlotte,North Carolina,United States,MS in Civil Engineering,23540.0,USD
"University of Michigan, Ann Arbor",Michigan,United States,MSE in Civil Engineering,72560.0,USD
Illinois Institute of Technology,Illinois,United States,MS in Civil Engineering,28480.0,USD
University of Florida,Florida,United States,MS in Civil Engineering,30134.0,USD
University of Florida,Florida,United States,"MS in Civil, Construction, Structural Engineering",18825.0,USD
Columbia University,New York,United States,MS in Civil Engineering and Engineering Mechanics,73860.0,USD
Columbia University,New York,United States,Masters in Natural Hazards and Catastrophes,,USD
University of Illinois at Urbana-Champaign,Illinois,United States,MS in Civil Engineering - Thesis,38276.0,USD
Pennsylvania State University,Pennsylvania,United States,MEng in Civil Engineering,1450490.0,USD
"University of California, Los Angeles",California,United States,MS in Civil Engineering,27366.0,USD
"University of Minnesota, Twin Cities",Minnesota,United States,MS in Civil Engineering,15840.0,USD
"University of Minnesota, Twin Cities",Minnesota,United States,MEng in Civil Engineering,15840.0,USD
University of Washington,Washington,United States,MS in Civil Engineering - Geotechnical Engineering,36888.0,USD
University of Toronto,Ontario,Canada,MASc in Civil Engineering,25695.0,CAD
University of Toronto,Ontario,Canada,MEng in Civil & Mineral Engineering,68670.0,CAD
Stony Brook University,New York,United States,MS in Civil Engineering,20400.0,USD
University of Cincinnati,Ohio,United States,MS in Civil Engineering,19995.0,USD
University of Cincinnati,Ohio,United States,MEng in Civil Engineering,19995.0,USD
University of Waterloo,Ontario,Canada,MASc in Civil Engineering,23088.0,CAD
University of Waterloo,Ontario,Canada,MEng in Civil Engineering,41792.0,CAD
University of Waterloo,Ontario,Canada,MASc in Civil Engineering (Water),23088.0,CAD
Syracuse University,New York,United States,MS in Civil Engineering,33696.0,USD
New Jersey Institute of Technology,New Jersey,United States,MS in Civil Engineering,35200.0,USD
University of Massachusetts Amherst,Massachusetts,United States,MS in Civil Engineering - Environmental and Water Resources Engineering,28691.0,USD
University of Massachusetts Amherst,Massachusetts,United States,MS in Civil Engineering - Geotechnical Engineering,57381.0,USD
University of Massachusetts Amherst,Massachusetts,United States,MS in Civil Engineering - Structural Engineering & Mechanics (Coursework),37020.0,USD
University of Massachusetts Amherst,Massachusetts,United States,MS in Civil Engineering - Transportation Engineering,38254.0,USD
University of Massachusetts Amherst,Massachusetts,United States,MS in Civil Engineering,27931.0,USD
University of Colorado Boulder,Colorado,United States,MS in Civil Engineering,62700.0,USD
Stevens Institute of Technology,New Jersey,United States,MEng in Civil Engineering: Structural Engineering,22980.0,USD
Stevens Institute of Technology,New Jersey,United States,MEng in Civil Engineering,42828.0,USD
University of Houston,Texas,United States,MS in Civil Engineering,22093.0,USD
University of South Florida,Florida,United States,MS in Civil Engineering,18261.0,USD
Michigan State University,Michigan,United States,MS in Civil Engineering,27150.0,USD
McGill University,Montreal,Canada,MEng in Civil Engineering,26957.0,CAD
McGill University,Montreal,Canada,MSc in Civil Engineering (Thesis),19689.0,CAD
San Diego State University,California,United States,MS in Civil Engineering,14760.0,USD
Ohio State University,Ohio,United States,MS in Civil Engineering,44110.0,USD
"California State University, Fullerton",California,United States,MS in Civil Engineering,14445.0,USD
"California State University, Long Beach",California,United States,MS in Civil Engineering,13620.0,USD
George Mason University,Virginia,United States,MS in Civil and Infrastructure Engineering,29720.0,USD
Clemson University,South Carolina,United States,MS in Civil Engineering,23372.0,USD
University of Windsor,Ontario,Canada,MEng in Civil Engineering,10374.0,CAD
University of Windsor,Ontario,Canada,MASc in Civil Engineering,15561.0,CAD
University of Arizona,Arizona,United States,MS in Civil Engineering and Engineering Mechanics,37780.0,USD
Iowa State University,Iowa,United States,MS in Civil Engineering,36960.0,USD
Iowa State University,Iowa,United States,MEng in Civil Engineering,36960.0,USD
Concordia University,Montreal,Canada,MEng in Civil Engineering,15638.0,CAD
Concordia University,Montreal,Canada,MASc in Civil Engineering,14783.0,CAD
California Institute Of Technology,California,United States,MS in Civil Engineering,58479.0,USD
Santa Clara University,California,United States,MS in General Civil Engineering,26680.0,USD
Santa Clara University,California,United States,MS in Civil Engineering,26680.0,USD
Colorado State University,Colorado,United States,MS in Civil Engineering - Non Thesis,26240.0,USD
"California State University, Los Angeles",California,United States,MS in Civil Engineering,22217.0,USD
Michigan Technological University,Michigan,United States,MS in Civil Engineering (Thesis),43740.0,USD
