University Name,State,Country,Course Name,Average Fees (Per Year),Currency
"Northeastern University, Boston",Massachusetts,United States,MS in Computer Science (Align),31416.0,USD
"Northeastern University, Boston",Massachusetts,United States,MS in Computer Science,28560.0,USD
"Texas A&M University, College Station",Texas,United States,Masters in Computer Science,25000.0,USD
"Texas A&M University, College Station",Texas,United States,MS in Computer Science,18885.0,USD
The University of Texas at Dallas,Texas,United States,MS in Computer Science,40172.0,USD
University of Southern California,California,United States,MS in Computer Science,40688.0,USD
University of Southern California,California,United States,MS in Computer Science - Game Development,38784.0,USD
University of Southern California,California,United States,MS in Computer Science (Non - Thesis),38784.0,USD
University of Southern California,California,United States,Masters in Computer Science - Thesis,54251.0,USD
University of Southern California,California,United States,MS in Computer Science - Scientists and Engineers,47046.0,USD
University of Southern California,California,United States,MS in Computer Science - Software Engineering,51712.0,USD
University of Southern California,California,United States,MSc in Computer Science (Computer Networks),38784.0,USD
Georgia Institute of Technology,Georgia,United States,MS in Computer Science,24300.0,USD
University of Texas at Austin,Texas,United States,MS in Computer Science (Thesis),38260.0,USD
University of Texas at Austin,Texas,United States,MS in Computer Science (Coursework),38260.0,USD
University of Texas at Austin,Texas,United States,MS in Computer Science- Thesis,28695.0,USD
University at Buffalo SUNY,New York,United States,MS in Computer Science and Engineering,20220.0,USD
The University of Texas at Arlington,Texas,United States,MS in Computer Science,26360.0,USD
New York University,New York,United States,MS in Computer Science,35025.0,USD
New York University,New York,United States,MS in Computer Science (Courant Campus),38826.0,USD
San Jose State University,California,United States,MS in Computer Science,17226.0,USD
San Jose State University,California,United States,Masters in Computer Science,16236.0,USD
Purdue University West Lafayette,Indiana,United States,MS in Computer Science - Thesis,35640.0,USD
Purdue University West Lafayette,Indiana,United States,MS in Computer Science - Non-Thesis,28830.0,USD
"North Carolina State University, Raleigh",North Carolina,United States,MS in Computer Science (Data Science),25343.0,USD
"North Carolina State University, Raleigh",North Carolina,United States,MS in Computer Science,25343.0,USD
"North Carolina State University, Raleigh",North Carolina,United States,MS in Computer Science - Software Engineering,25343.0,USD
University of Illinois at Chicago,Illinois,United States,MS in Computer Science (Coursework),23310.0,USD
University of Illinois at Chicago,Illinois,United States,MS in Computer Science (Thesis),23328.0,USD
University of Illinois at Chicago,Illinois,United States,MS in Computer Science (Project),20736.0,USD
Carnegie Mellon University,Pennsylvania,United States,MS in Computer Science,57528.0,USD
Carnegie Mellon University,Pennsylvania,United States,MS in Computer Vision,62156.0,USD
"University of California, San Diego",California,United States,MS in Computer Science and Engineering (Thesis),27366.0,USD
"University of California, San Diego",California,United States,MS in Computer Science and Engineering,24320.0,USD
"University of California, San Diego",California,United States,MS in Computer Science And Engineering,11442.0,USD
"University of Maryland, College Park",Maryland,United States,MS in Computer Science,27075.0,USD
"The University of British Columbia, Vancouver",British Columbia,Canada,MSc in Computer Science,9690.0,CAD
Arizona State University,Arizona,United States,"MS in Computer Science (Art, Media and Engineering)",24075.0,USD
Arizona State University,Arizona,United States,MS in Computer Science (Big Data Systems),24075.0,USD
Arizona State University,Arizona,United States,MS in Computer Science,24075.0,USD
Arizona State University,Arizona,United States,MCS in Computer Science (Cybersecurity),24075.0,USD
Arizona State University,Arizona,United States,Masters in Computer Science,24075.0,USD
Arizona State University,Arizona,United States,MS in Computer Science (Bio-Medical Informatics),24075.0,USD
Arizona State University,Arizona,United States,Masters in Computer Science (Big Data Systems),22050.0,USD
University of North Carolina at Charlotte,North Carolina,United States,MS in Computer Science,21140.0,USD
"University of Michigan, Ann Arbor",Michigan,United States,MS in Computer Science and Engineering,108840.0,USD
Illinois Institute of Technology,Illinois,United States,MS in Computer Science,27392.0,USD
Illinois Institute of Technology,Illinois,United States,MASc in Computer Science,34240.0,USD
University of Florida,Florida,United States,MS in Computer Science,30134.0,USD
Columbia University,New York,United States,MS in Computer Science- Computer Security,49240.0,USD
Columbia University,New York,United States,MS in Computer Science,49240.0,USD
University of Illinois at Urbana-Champaign,Illinois,United States,Masters in Computer Science - Professional,38276.0,USD
University of Illinois at Urbana-Champaign,Illinois,United States,MS in Computer Science,38276.0,USD
University of Illinois at Urbana-Champaign,Illinois,United States,Masters in Computer Science,36798.0,USD
"University of California, Berkeley",California,United States,MS in Computer Science,27366.0,USD
Pennsylvania State University,Pennsylvania,United States,MS in Computer Science and Engineering,46790.0,USD
Pennsylvania State University,Pennsylvania,United States,MEng in Computer Science and Engineering,46790.0,USD
Pennsylvania State University,Pennsylvania,United States,MS in Computer Science,33396.0,USD
"University of California, Los Angeles",California,United States,MS in Computer Science,27366.0,USD
"University of California, Irvine",California,United States,Masters in Computer Science,43920.0,USD
"University of California, Irvine",California,United States,MSc in Computer Science,36000.0,USD
"University of Minnesota, Twin Cities",Minnesota,United States,MS in Computer Science,21824.0,USD
University of Pennsylvania,Pennsylvania,United States,MSc(Eng) in Computer and Information Science,78650.0,USD
University of Pennsylvania,Pennsylvania,United States,Masters in Computer and Information Technology,37710.0,USD
University of Washington,Washington,United States,MS in Computer Science & Software Engineering,27753.0,USD
University of Washington,Washington,United States,MSc in Computer Science & Software Engineering,19918.0,USD
University of Washington,Washington,United States,Masters in Computer Science and engineering,16896.0,USD
University of Washington,Washington,United States,MS in Computer Science & Software Engineering,19918.0,USD
"Rutgers University, New Brunswick",New Jersey,United States,MS in Computer Science,25452.0,USD
Rutgers University-New Brunswick,New Jersey,United States,MS in Computer Science - Massive Data Analytics,18840.0,USD
University of Toronto,Ontario,Canada,MSc in Applied Computing - Computer Science,58496.0,CAD
University of Toronto,Ontario,Canada,MSc in Computer Science,59181.0,CAD
Massachusetts Institute of Technology,Massachusetts,United States,MS in A.I.,,USD
