University Name,State,Country,Course Name,Average Fees (Per Year),Currency
"Northeastern University, Boston",Massachusetts,United States,MS in Data Science,29696.0,USD
"Northeastern University, Boston",Massachusetts,United States,MS in Data Analytics Engineering,29824.0,USD
"Northeastern University, Boston",Massachusetts,United States,MS in Data Science (Align),28688.0,USD
"Northeastern University, Boston",Massachusetts,United States,MS in Data Analytics,27850.0,USD
"Texas A&M University, College Station",Texas,United States,MS in Data Science,28183.0,USD
The University of Texas at Dallas,Texas,United States,MS in Social Data Analytics and Research,30366.0,USD
University of Southern California,California,United States,MS in Applied Data Science,38784.0,USD
University of Southern California,California,United States,MS in Computer Science -Data Science,40688.0,USD
University of Southern California,California,United States,MS in Spatial Data Science,38784.0,USD
University at Buffalo SUNY,New York,United States,Masters in Data Sciences and Applications,30330.0,USD
The University of Texas at Arlington,Texas,United States,MS in Applied Statistics and Data Science,26360.0,USD
The University of Texas at Arlington,Texas,United States,MS in Data Science,19770.0,USD
New York University,New York,United States,MS in Data Science,38826.0,USD
San Jose State University,California,United States,MS in Data Analytics,15645.0,USD
San Jose State University,California,United States,MS in Data Science,18774.0,USD
"North Carolina State University, Raleigh",North Carolina,United States,MS in Foundations of Data Science,32700.0,USD
"North Carolina State University, Raleigh",North Carolina,United States,MS in Analytics,52201.0,USD
Carnegie Mellon University,Pennsylvania,United States,MS in Data Analytics for Science,48775.0,USD
Carnegie Mellon University,Pennsylvania,United States,Masters in Computational Data Science,64211.0,USD
Carnegie Mellon University,Pennsylvania,United States,Masters in Information Systems Management - Business Intelligence & Data Analytics,61639.0,USD
Carnegie Mellon University,Pennsylvania,United States,Masters in Applied Data Science,42473.0,USD
Carnegie Mellon University,Pennsylvania,United States,Masters in Computational and Data Science,55940.0,USD
"University of California, San Diego",California,United States,Masters in Data Science and Engineering,19665.0,USD
"University of California, San Diego",California,United States,MS in Data Science,27366.0,USD
"University of Maryland, College Park",Maryland,United States,MS in Data Science,20000.0,USD
"The University of British Columbia, Vancouver",British Columbia,Canada,Masters in Data Science,54732.0,CAD
Arizona State University,Arizona,United States,"MS in Data Science, Analytics and Engineering (Bayesian Machine Learning)",32100.0,USD
Arizona State University,Arizona,United States,"MS in Data Science, Analytics and Engineering (Computing and Decision Analytics)",24075.0,USD
Arizona State University,Arizona,United States,MS in Program Evaluation and Data Analytics,26483.0,USD
Arizona State University,Arizona,United States,"MS in Data Science, Analytics and Engineering (Electrical Engineering)",32100.0,USD
Arizona State University,Arizona,United States,"MS in Data Science, Analytics and Engineering (Computational Models and Data)",32100.0,USD
Arizona State University,Arizona,United States,"MS in Data Science, Analytics and Engineering (Human-Centered Applications)",32100.0,USD
Arizona State University,Arizona,United States,"MSc in Data Science, Analytics and Engineering (Materials Science and Engineering)",32100.0,USD
Arizona State University,Arizona,United States,"MS in Data Science, Analytics and Engineering (Sustainable Engineering and Built Environment)",32100.0,USD
Arizona State University,Arizona,United States,"MS in Data Science, Analytics and Engineering (Mechanical and Aerospace Engineering)",32100.0,USD
"University of Michigan, Ann Arbor",Michigan,United States,MS in Data Science,67820.0,USD
"University of Michigan, Ann Arbor",Michigan,United States,Masters in Predictive Analytics,,USD
Illinois Institute of Technology,Illinois,United States,MASc in Data Science,56496.0,USD
University of Florida,Florida,United States,MS in Applied Data Science,30134.0,USD
Columbia University,New York,United States,MS in Data Science,49240.0,USD
Columbia University,New York,United States,MS in Applied Analytics,91296.0,USD
"University of California, Berkeley",California,United States,Masters in Analytics,27366.0,USD
"University of California, Berkeley",California,United States,Masters in Information and Data Sciences,73224.0,USD
Pennsylvania State University,Pennsylvania,United States,MS in Data Analytics,28155.0,USD
Pennsylvania State University,Pennsylvania,United States,MS in Professional Studies in Data Analytics,38300.0,USD
"University of California, Los Angeles",California,United States,Masters in Data Science in Health,34491.0,USD
"University of California, Los Angeles",California,United States,MEng in Data Science,36488.0,USD
"University of California, Irvine",California,United States,Masters in Data Science,43840.0,USD
"University of Minnesota, Twin Cities",Minnesota,United States,MS in Data Science,20383.0,USD
University of Pennsylvania,Pennsylvania,United States,MSE in Data Science,54500.0,USD
University of Washington,Washington,United States,MS in Data Science,34200.0,USD
"Rutgers University, New Brunswick",New Jersey,United States,MS in Data Science,47160.0,USD
"Rutgers University, New Brunswick",New Jersey,United States,Masters in Business & Science - Analytics: Discovery Informatics & Data Sciences,40277.0,USD
University of Toronto,Ontario,Canada,MS in Applied Computing - Data Science,58496.0,CAD
Virginia Tech,Virginia,United States,MA in Data Analysis and Applied Statistics,35200.0,USD
Stony Brook University,New York,United States,MS in Data Science,24480.0,USD
University of Waterloo,Ontario,Canada,Masters in Data Science and Artificial Intelligence (Co-op),55824.0,CAD
University of Waterloo,Ontario,Canada,Masters in Data Science - MMath,25537.0,CAD
University of Waterloo,Ontario,Canada,Masters in Data Science and Artificial Intelligence,55684.0,CAD
New Jersey Institute of Technology,New Jersey,United States,MS in Data Science,35200.0,USD
New Jersey Institute of Technology,New Jersey,United States,MS in  Data Science (Computing Concentration),35200.0,USD
New Jersey Institute of Technology,New Jersey,United States,Graduate certificate in Data Mining,10560.0,USD
New Jersey Institute of Technology,New Jersey,United States,MS in Data Science - Statistics Track,35200.0,USD
University of Massachusetts Amherst,Massachusetts,United States,MS in  Data Analytics and Computational Social Science,36040.0,USD
University of Colorado Boulder,Colorado,United States,MS in Data Science,30640.0,USD
Rochester Institute of Technology,New York,United States,MS in Data Science,36945.0,USD
Cornell University,New York,United States,Masters in Applied Statistics and Data Science (MPS),68380.0,USD
Stevens Institute of Technology,New Jersey,United States,MS in Data Science,42828.0,USD
Stevens Institute of Technology,New Jersey,United States,MS in Data Science: Data Acquisition and Management,42828.0,USD
University of Houston,Texas,United States,MS in Statistics and Data Science,28230.0,USD
University of Houston,Texas,United States,MS in Engineering Data Science,21380.0,USD
University of Houston,Texas,United States,Masters in Data Analytics,18270.0,USD
University of South Florida,Florida,United States,MS in Data Intelligence,18260.0,USD
University of Wisconsin-Madison,Wisconsin,United States,MS in Data Science,32000.0,USD
Michigan State University,Michigan,United States,MS in Data Science,19500.0,USD
McGill University,Montreal,Canada,Masters in Information Studies - Course Work,28362.0,CAD
San Diego State University,California,United States,MS in Big Data Analytics,15645.0,USD
"University of Maryland, Baltimore County",Maryland,United States,Masters in Professional Studies: Data Science,21750.0,USD
Georgia State University,Georgia,United States,MS in Data Science and Analytics- Big Data and Machine Learning,45324.0,USD
Georgia State University,Georgia,United States,MS in Data Science and Analytics,48150.0,USD
Indiana University Bloomington,Indiana,United States,MS in Data Science,32703.0,USD
George Mason University,Virginia,United States,MS in Data Analytics Engineering,29720.0,USD
University of Arizona,Arizona,United States,MS in Statistics and Data Science,24802.0,USD
University of Arizona,Arizona,United States,MS in Data Science,35880.0,USD
Boston University,Massachusetts,United States,MS in Applied Data Analytics,66670.0,USD
Boston University,Massachusetts,United States,MS in Data Science,67626.0,USD
Harvard University,Massachusetts,United States,Masters in Data Science,63624.0,USD
Colorado State University,Colorado,United States,Masters in Applied Statistics - Data Science,47580.0,USD
"University of California, Santa Barbara",California,United States,Masters in Environmental Data Science,30233.0,USD
"California State University, Los Angeles",California,United States,MEng in Data Science,38700.0,USD
Michigan Technological University,Michigan,United States,MS in Data Science,29160.0,USD
Johns Hopkins University,Maryland,United States,MS in Data Science,69124.0,USD
University of North Texas,Texas,United States,MS in Data Science,16398.0,USD
University of North Texas,Texas,United States,MS in Advanced Data Analytics,39540.0,USD
Technical University of Munich,Bavaria,Germany,MSc in Mathematics in Data Science,12000.0,EUR
Technical University of Munich,Bavaria,Germany,MSc in Data Engineering and Analytics,12000.0,EUR
Duke University,North Carolina,United States,Masters in Interdisciplinary Data Science,65120.0,USD
Duke University,North Carolina,United States,MS in Statistical Science - Data Science and Analytics,65120.0,USD
University of North Carolina at Chapel Hill,North Carolina,United States,"MS in  Statistics, Analytics and Data Science",43160.0,USD
State University of New York at Binghamton,New York,United States,MS in Data Analytics,29730.0,USD
"University of Michigan, Dearborn",Michigan,United States,MS in Data Science,32800.0,USD
Queen's University,Kingston,Canada,MSc in Data Science and Machine Learning,12928.0,CAD
Carleton University,Ottawa,Canada,"MEng in Data Science, Analytics, and Artificial Intelligence",22945.0,CAD
Carleton University,Ottawa,Canada,"MSc in Data Science, Analytics, and Artificial Intelligence",22945.0,CAD
University of Calgary,Alberta,Canada,Masters in Data Science And Analytics,50355.0,CAD
The George Washington University,District of Columbia,United States,MS in Data Science,30300.0,USD
The George Washington University,District of Columbia,United States,MS in Data Analytics,31950.0,USD
Oregon State University,Oregon,United States,MS in Data Analytics,12600.0,USD
Auburn University,Alabama,United States,MS in Data Science and Engineering,55080.0,USD
Indiana University - Purdue University Indianapolis,Indiana,United States,MS in Applied Data Science,22320.0,USD
