University Name,State,Country,Course Name,Average Fees (Per Year),Currency
University of Southern California,California,United States,MS in Electrical Engineering,47469.0,USD
University of Texas at Austin,Texas,United States,MS in Master of Engineering,19786.0,USD
Pennsylvania State University,Pennsylvania,United States,MEng in Electrical Engineering,15105.0,USD
"University of California, Los Angeles",California,United States,MS in Electrical and Computer Engineering (Thesis),27366.0,USD
"University of Minnesota, Twin Cities",Minnesota,United States,MS in Electrical and Computer Engineering,46020.0,USD
Massachusetts Institute of Technology,Massachusetts,United States,MS in Electrical Engineering,,USD
Michigan State University,Michigan,United States,MS in Electrical Engineering,47450.0,USD
McGill University,Montreal,Canada,MEng in Electrical Engineering,28362.0,CAD
Indiana University Bloomington,Indiana,United States,MS in Electrical and Computer Engineering,26098.0,USD
"California State University, Fullerton",California,United States,MS in Electrical Engineering,14445.0,USD
University of Windsor,Ontario,Canada,MASc in Electrical Engineering,23460.0,CAD
Boston University,Massachusetts,United States,MEng in Electrical Engineering,27120.0,USD
Santa Clara University,California,United States,MS in Electrical and Computer Engineering,2668.0,USD
University of North Carolina at Chapel Hill,North Carolina,United States,MS in Electrical Engineering,,USD
"California State University, Sacramento",California,United States,MS in Electrical and Electronic Engineering,20860.0,USD
University of Pittsburgh,Pennsylvania,United States,MS in Electrical and Computer Engineering,48594.0,USD
"University of California, Santa Cruz",California,United States,MS in Electrical And Electronics Engineering,14178.0,USD
University of Central Florida,Florida,United States,MS in Electrical Engineering,17910.0,USD
Princeton University,New Jersey,United States,MEng in Electrical Engineering,57410.0,USD
RWTH Aachen University,North Rhine-Westphilia,Germany,Masters in Electrical Engineering (Teaching),,EUR
University of Connecticut,Connecticut,United States,MS in Electrical Engineering,46040.0,USD
"University of Massachusetts, Boston",Massachusetts,United States,MS in Electrical Engineering,,USD
The University of Melbourne,Victoria,Australia,Masters in Electrical Engineering,55484.0,AUD
Kansas State University,Kansas,United States,MS in Electrical Engineering,20140.0,USD
Wayne State University,Michigan,United States,MS in Environmental and Sustainability Engineering,26610.0,USD
