University Name,State,Country,Course Name,Average Fees (Per Year),Currency
"Texas A&M University, College Station",Texas,United States,MSc in Psychological Science,24129.0,USD
The University of Texas at Dallas,Texas,United States,MS in Psychology,44766.0,USD
Georgia Institute of Technology,Georgia,United States,MS in Psychology,15285.0,USD
University at Buffalo SUNY,New York,United States,MA in Psychology,23100.0,USD
The University of Texas at Arlington,Texas,United States,MS in Psychology,23161.0,USD
New York University,New York,United States,MA in Psychology,37332.0,USD
San Jose State University,California,United States,MA in Research and Experimental Psychology,14760.0,USD
University of Illinois at Chicago,Illinois,United States,MS in Psycology,12369.0,USD
University of Illinois at Chicago,Illinois,United States,MA in Psychology,16896.0,USD
"University of Maryland, College Park",Maryland,United States,Masters in Clinical Psychological Science,24330.0,USD
"The University of British Columbia, Vancouver",British Columbia,Canada,MA in Psychology,9500.0,CAD
Arizona State University,Arizona,United States,MS in Psychology,27792.0,USD
University of North Carolina at Charlotte,North Carolina,United States,MA in Psychology,20520.0,USD
University of North Carolina at Charlotte,North Carolina,United States,MA in Industrial/Organizational Psychology,15903.0,USD
"University of Michigan, Ann Arbor",Michigan,United States,MS in Psychology,22980.0,USD
Pennsylvania State University,Pennsylvania,United States,MS in Psychology,44996.0,USD
"University of California, Los Angeles",California,United States,MA in Psychology,33238.0,USD
University of Pennsylvania,Pennsylvania,United States,MA in Psychology,7282.0,USD
University of Toronto,Ontario,Canada,MA in Psychology,12050.0,CAD
Virginia Tech,Virginia,United States,MS in Psychology,,USD
Stony Brook University,New York,United States,MA in Psychology,28890.0,USD
University of Cincinnati,Ohio,United States,MA in Psychology,19995.0,USD
University of Waterloo,Ontario,Canada,MA in Psychology,23088.0,CAD
University of Colorado Boulder,Colorado,United States,Masters in Psychology,,USD
University of South Florida,Florida,United States,MA in  Psychological Sciences,21144.0,USD
University of Wisconsin-Madison,Wisconsin,United States,MS in Psychology,25548.0,USD
"University of California, Davis",California,United States,MS in Psychology,26544.0,USD
Michigan State University,Michigan,United States,MS in Psychology,29904.0,USD
McGill University,Montreal,Canada,Masters in Arts: Psychology,31455.0,CAD
San Diego State University,California,United States,MS in Applied Psychology,18696.0,USD
San Diego State University,California,United States,MS in Applied  Psychology,16698.0,USD
San Diego State University,California,United States,Masters in Psychology,14760.0,USD
"University of Maryland, Baltimore County",Maryland,United States,Masters in Human Services Psychology: Applied Behavior Analysis,21618.0,USD
Georgia State University,Georgia,United States,Masters in Psychology,,USD
"California State University, Fullerton",California,United States,MA in Psychological Research,17334.0,USD
George Mason University,Virginia,United States,MA in Psychology - Applied Developmental Psychology,22290.0,USD
University of Alberta,Alberta,Canada,MA in Psychology,8874.0,CAD
Clemson University,South Carolina,United States,Masters in Psychology,27510.0,USD
University of Windsor,Ontario,Canada,MA in Clinical Psychology,22995.0,CAD
University of Arizona,Arizona,United States,MA in Educational Psychology,26910.0,USD
Boston University,Massachusetts,United States,MA in Psychology,63798.0,USD
Iowa State University,Iowa,United States,MS in Psychology,33000.0,USD
Concordia University,Montreal,Canada,MA in Psychology,15233.0,CAD
"California State University, Los Angeles",California,United States,MA in Psychology,11470.0,USD
Texas A&M University - Kingsville,Texas,United States,MS in Psychology,14346.0,USD
University of North Carolina at Chapel Hill,North Carolina,United States,Masters in Psychology,,USD
Simon Fraser University,British Columbia,Canada,MA in Psychology,6198.0,CAD
Texas Tech University,Texas,United States,MEd in Educational Psychology,18407.0,USD
University of Dayton,Ohio,United States,MA in Psychology,15075.0,USD
Cleveland State University,Ohio,United States,MA in Psychology - Industrial-Organizational Research,25038.0,USD
Cleveland State University,Ohio,United States,MA in Clinical Psychology,32100.0,USD
State University of New York at Binghamton,New York,United States,"Masters in Psychology, Behavioral Neuroscience",,USD
"University of Michigan, Dearborn",Michigan,United States,MS in Psychology-Clinical Health Psychology,23040.0,USD
Queen's University,Kingston,Canada,MSc in Psychology,12927.0,CAD
Carleton University,Ottawa,Canada,MA in Psychology,18463.0,CAD
"California State University, Sacramento",California,United States,MA in Psychology,14760.0,USD
University of Pittsburgh,Pennsylvania,United States,MS in Psychology,43804.0,USD
University of Calgary,Alberta,Canada,MS in Psychology,5605.0,CAD
University of Calgary,Alberta,Canada,MSc (Thesis) in Psychology,8040.0,CAD
Dalhousie University,Nova Scotia,Canada,MSc in Psychology and Neuroscience,16860.0,CAD
Dalhousie University,Nova Scotia,Canada,MSc in Psychology,16860.0,CAD
York University,Toronto,Canada,MA in Psychology,19662.0,CAD
McMaster University,Hamilton,Canada,MSc in Psychotherapy,38802.0,CAD
McMaster University,Hamilton,Canada,MSc in Psychology,34089.0,CAD
Indiana University - Purdue University Indianapolis,Indiana,United States,MA in Psychology,18630.0,USD
University of Houston - Clear Lake,Texas,United States,MA in Industrial/Organizational Psychology,21465.0,USD
University of Houston - Clear Lake,Texas,United States,MS in Psychology,17172.0,USD
Toronto Metropolitan University,Toronto,Canada,MA in Psychological Science,25514.0,CAD
Northern Illinois University,Illinois,United States,M.A. in Psychology,12886.0,USD
RWTH Aachen University,North Rhine-Westphilia,Germany,Masters in Psychology,,EUR
"California State University, Northridge",California,United States,MA in Psychological Science,18593.0,USD
Florida State University,Florida,United States,MS in Psychology,13320.0,USD
University of Victoria,British Columbia,Canada,MSc in Psychology,7764.0,CAD
Drexel University,Pennsylvania,United States,MS in Psychology,30195.0,USD
The University of Melbourne,Victoria,Australia,Masters in Psychology (Clinical Psychology),53858.0,AUD
Pace University,New York,United States,MA in Psychology,26100.0,USD
