University Name,State,Country,Course Name,Average Fees (Per Year),Currency,Average Fees in INR
"Northeastern University, Boston",Massachusetts,United States,MS in Software Engineering Systems,28816.0,USD,2407864.96
The University of Texas at Dallas,Texas,United States,MS in Software Engineering,30129.0,USD,2517579.24
The University of Texas at Dallas,Texas,United States,MS in Executive Software Engineering,23952.0,USD,2001429.12
University of Southern California,California,United States,MS in Computer Science- Data science,49259.0,USD,4116082.04
University of Texas at Austin,Texas,United States,Masters in Software Engineering,17000.0,USD,1420520.0
The University of Texas at Arlington,Texas,United States,MS in Software Engineering,26360.0,USD,2202641.6
San Jose State University,California,United States,MS in Software Engineering,17226.0,USD,1439404.56
San Jose State University,California,United States,MS in Software Engineering Specialization in Cybersecurity,17000.0,USD,1420520.0
Carnegie Mellon University,Pennsylvania,United States,MS in Software Management,86154.0,USD,7199028.24
Carnegie Mellon University,Pennsylvania,United States,Masters in Software Engineering - Embedded Systems,54556.0,USD,4558699.36
Carnegie Mellon University,Pennsylvania,United States,Masters in Software Engineering,57644.0,USD,4816732.640000001
Carnegie Mellon University,Pennsylvania,United States,MS in Software Engineering,36860.0,USD,3080021.6
"University of Maryland, College Park",Maryland,United States,MEng in Software Engineering,23500.0,USD,1963660.0
Arizona State University,Arizona,United States,MS in Software Engineering,32100.0,USD,2682276.0
Pennsylvania State University,Pennsylvania,United States,Masters in Software Engineering,33786.0,USD,2823158.16
"University of California, Irvine",California,United States,MS in Software Engineering,27435.0,USD,2292468.6
"University of California, Irvine",California,United States,Masters in Software Engineering,43840.0,USD,3663270.4
"University of Minnesota, Twin Cities",Minnesota,United States,MS in Software Engineering,15840.0,USD,1323590.4000000001
University of Cincinnati,Ohio,United States,MEng in Software Engineering,39990.0,USD,3341564.4
New Jersey Institute of Technology,New Jersey,United States,MS in Software Engineering,35200.0,USD,2941312.0
Rochester Institute of Technology,New York,United States,MS in Software Engineering,44334.0,USD,3704549.04
Rochester Institute of Technology,New York,United States,MS in Software engineering (Capstone option),40626.0,USD,3394708.56
Stevens Institute of Technology,New Jersey,United States,MS in Software Engineering,42828.0,USD,3578707.68
"University of Maryland, Baltimore County",Maryland,United States,Masters in Software Engineering,20280.0,USD,1694596.8
"California State University, Fullerton",California,United States,MS in Accelerated Software Engineering,22556.0,USD,1884779.36
George Mason University,Virginia,United States,MS in Software Engineering,29720.0,USD,2483403.2
Concordia University,Montreal,Canada,MASc in Software Engineering,21549.0,CAD,1314489.0
Concordia University,Montreal,Canada,MEng in Software Engineering,18363.0,CAD,1120143.0
Harvard University,Massachusetts,United States,Masters in Software Engineering,18600.0,USD,1554216.0
Santa Clara University,California,United States,Masters in Software Engineering,,USD,
Technical University of Munich,Bavaria,Germany,MSc in Software Engineering,170.0,EUR,15189.499999999998
Technical University of Munich,Bavaria,Germany,Masters in Automotive Software Engineering,,EUR,
The University of Utah,Utah,United States,Masters in Software Development,43212.0,USD,3610794.72
Texas Tech University,Texas,United States,MS in Software and Security Engineering,19460.0,USD,1626077.6
Texas Tech University,Texas,United States,Masters in Software Engineering,17512.0,USD,1463302.72
Cleveland State University,Ohio,United States,MS in Software Engineering - Non Thesis,20960.0,USD,1751417.6
