University Name,State,Country,Course Name,Average Fees (Per Year),Currency,Average Fees in INR
"Northeastern University, Boston",Massachusetts,United States,MS in Environmental Science and Policy,42267.0,USD,3531830.52
The University of Texas at Arlington,Texas,United States,MS in Earth and Environmental Sciences,23486.0,USD,1962490.16
New York University,New York,United States,MS in Environmental Science,46700.0,USD,3902252.0
"University of Maryland, College Park",Maryland,United States,MS in Environmental Science and Technology,24375.0,USD,2036775.0
Columbia University,New York,United States,MPA in Environmental Science and Policy,76020.0,USD,6352231.2
"Rutgers University, New Brunswick",New Jersey,United States,MS in Environmental Science,28100.0,USD,2348036.0
University of Toronto,Ontario,Canada,Masters in Environmental Science,54710.0,CAD,3337310.0
Virginia Tech,Virginia,United States,MS in Environmental Science and Engineering,35200.0,USD,2941312.0
New Jersey Institute of Technology,New Jersey,United States,MS in Environmental Science,25695.0,USD,2147074.2
University of Massachusetts Amherst,Massachusetts,United States,MS in Environmental Conservation,26235.0,USD,2192196.6
University of Massachusetts Amherst,Massachusetts,United States,MS in Environmental Conservation - Sustainable Building Systems,54060.0,USD,4517253.6
Rochester Institute of Technology,New York,United States,MS in Environmental Science,33855.0,USD,2828923.8
University of Houston,Texas,United States,MS in Environmental Engineering (Non Thesis),15855.0,USD,1324843.8
University of South Florida,Florida,United States,MS in Environmental Science and Policy,15912.0,USD,1329606.72
University of Wisconsin-Madison,Wisconsin,United States,Masters in Environmental Science,,USD,
Michigan State University,Michigan,United States,MS in Environmental Science,,USD,
McGill University,Montreal,Canada,MA in Neotropical Environment,18660.0,CAD,1138260.0
Ohio State University,Ohio,United States,MS in Environmental Science,43226.0,USD,3611964.56
Indiana University Bloomington,Indiana,United States,Masters in Environmental Sustainability,49420.0,USD,4129535.2
Indiana University Bloomington,Indiana,United States,MS in Environmental Science: Energy and Climate Change Science,32948.0,USD,2753134.88
Indiana University Bloomington,Indiana,United States,MS in Environmental Science,32948.0,USD,2753134.88
George Mason University,Virginia,United States,MS in Environmental Science and Policy,24519.0,USD,2048807.64
