University Name,Address
"Northeastern University, Boston","Northeastern University, Boston, Massachusetts, United States"
University of Southern California,"University of Southern California, California, United States"
University at Buffalo SUNY,"University at Buffalo SUNY, New York, United States"
San Jose State University,"San Jose State University, California, United States"
Carnegie Mellon University,"Carnegie Mellon University, Pennsylvania, United States"
Illinois Institute of Technology,"Illinois Institute of Technology, Illinois, United States"
University of Florida,"University of Florida, Florida, United States"
"University of California, Los Angeles","University of California, Los Angeles, California, United States"
University of Toronto,"University of Toronto, Ontario, Canada"
Stony Brook University,"Stony Brook University, New York, United States"
University of Cincinnati,"University of Cincinnati, Ohio, United States"
New Jersey Institute of Technology,"New Jersey Institute of Technology, New Jersey, United States"
Rochester Institute of Technology,"Rochester Institute of Technology, New York, United States"
Stevens Institute of Technology,"Stevens Institute of Technology, New Jersey, United States"
Northwestern University,"Northwestern University, Illinois, United States"
Boston University,"Boston University, Massachusetts, United States"
Iowa State University,"Iowa State University, Iowa, United States"
University of North Texas,"University of North Texas, Texas, United States"
Duke University,"Duke University, North Carolina, United States"
"University of Michigan, Dearborn","University of Michigan, Dearborn, Michigan, United States"
York University,"York University, Toronto, Canada"
Oregon State University,"Oregon State University, Oregon, United States"
Toronto Metropolitan University,"Toronto Metropolitan University, Toronto, Canada"
Worcester Polytechnic Institute,"Worcester Polytechnic Institute, Massachusetts, United States"
San Francisco State University,"San Francisco State University, California, United States"
Wayne State University,"Wayne State University, Michigan, United States"
Kent State University,"Kent State University, Ohio, United States"
DePaul University,"DePaul University, Illinois, United States"
Imperial College London,"Imperial College London, London, United Kingdom"
Monash University,"Monash University, Victoria, Australia"
University of Texas at San Antonio,"University of Texas at San Antonio, Texas, United States"
Nanyang Technological University,"Nanyang Technological University, Singapore, Singapore"
University of Georgia,"University of Georgia, Georgia, United States"
Memorial University of Newfoundland,"Memorial University of Newfoundland, Newfoundland & Labrador, Canada"
Deakin University,"Deakin University, Victoria, Australia"
RMIT University,"RMIT University, Victoria, Australia"
University of Bridgeport,"University of Bridgeport, Connecticut, United States"
Technische Universität Darmstadt,"Technische Universität Darmstadt, Hesse, Germany"
The University of Edinburgh,"The University of Edinburgh, Edinburgh, United Kingdom"
Lawrence Technological University,"Lawrence Technological University, Michigan, United States"
University of Guelph,"University of Guelph, Ontario, Canada"
Friedrich-Alexander-Universität Erlangen-Nürnberg,"Friedrich-Alexander-Universität Erlangen-Nürnberg, Bavaria, Germany"
Laval University,"Laval University, Quebec, Canada"
Saarland University,"Saarland University, Saarland, Germany"
The University of Adelaide,"The University of Adelaide, South Australia, Australia"
University of Warwick,"University of Warwick, Coventry, United Kingdom"
"Curtin University, Perth","Curtin University, Perth, Western Australia, Australia"
Eindhoven University of Technology,"Eindhoven University of Technology, North Brabant, Netherlands"
University of Technology Sydney,"University of Technology Sydney, New South Wales, Australia"
"Long Island University, Brooklyn","Long Island University, Brooklyn, New York, United States"
King's College London,"King's College London, London, United Kingdom"
University of Amsterdam,"University of Amsterdam, Amsterdam, Netherlands"
La Trobe University,"La Trobe University, Melbourne, Australia"
The University of Manchester,"The University of Manchester, Manchester, United Kingdom"
Chalmers University of Technology,"Chalmers University of Technology, Stockholms l'n, Sweden"
Macquarie University,"Macquarie University, New South Wales, Australia"
Florida Atlantic University,"Florida Atlantic University, Florida, United States"
Queen Mary University of London,"Queen Mary University of London, London, United Kingdom"
University of Canterbury,"University of Canterbury, Canterbury, New Zealand"
University of Groningen,"University of Groningen, Groningen, Netherlands"
University of Birmingham,"University of Birmingham, Birmingham, United Kingdom"
Tokyo Institute of Technology,"Tokyo Institute of Technology, Tokyo, Japan"
Cardiff University,"Cardiff University, Cardiff, United Kingdom"
Loughborough University,"Loughborough University, Leicestershire, United Kingdom"
University of Bremen,"University of Bremen, Bremen, Germany"
Fairfax University of America,"Fairfax University of America, Virginia, United States"
Saint Louis University,"Saint Louis University, Missouri, United States"
The University of Sheffield,"The University of Sheffield, Sheffield, United Kingdom"
Brandenburg University of Technology,"Brandenburg University of Technology, Brandenburg, Germany"
University of Strathclyde,"University of Strathclyde, Glasgow City, United Kingdom"
Western Sydney University,"Western Sydney University, New South Wales, Australia"
University of Southampton,"University of Southampton, Southampton, United Kingdom"
University of Winnipeg,"University of Winnipeg, Manitoba, Canada"
Utrecht University,"Utrecht University, Utrecht, Netherlands"
Flinders University,"Flinders University, South Australia, Australia"
Ecole Polytechnique,"Ecole Polytechnique, Palaiseau, France"
"City, University of London","City, University of London, London, United Kingdom"
University of Nottingham,"University of Nottingham, Nottingham, United Kingdom"
University of Passau,"University of Passau, Bavaria, Germany"
