University Name,State,Country,Course Name,course,Average Fees (Per Year),Currency,Average Fees in INR
"Northeastern University, Boston",Massachusetts,United States,MS in Artificial Intelligence,Artificial Intelligence,28560.0,USD,2386473.6
University of Southern California,California,United States,MS in Computer Science - Artificial Intelligence,Artificial Intelligence,38784.0,USD,3240791.04
University at Buffalo SUNY,New York,United States,MS in Engineering Science (Artificial Intelligence),Artificial Intelligence,30330.0,USD,2534374.8
San Jose State University,California,United States,MS in Artificial Intelligence,Artificial Intelligence,17226.0,USD,1439404.56
Carnegie Mellon University,Pennsylvania,United States,MS in Artificial Intelligence,Artificial Intelligence,57436.0,USD,4799352.16
Carnegie Mellon University,Pennsylvania,United States,MS in Artificial Intelligence Engineering - Mechanical Engineering,Artificial Intelligence,57436.0,USD,4799352.16
Carnegie Mellon University,Pennsylvania,United States,MS in Artificial Intelligence Engineering - Information Security,Artificial Intelligence,54700.0,USD,4570732.0
Carnegie Mellon University,Pennsylvania,United States,MS in Artificial Intelligence and Innovation,Artificial Intelligence,69750.0,USD,5828310.0
Carnegie Mellon University,Pennsylvania,United States,MS in Artificial Intelligence,Artificial Intelligence,49147.0,USD,4106723.32
Carnegie Mellon University,Pennsylvania,United States,MS in Artificial Intelligence,Artificial Intelligence,49147.0,USD,4106723.32
Carnegie Mellon University,Pennsylvania,United States,MS in Artificial Intelligence,Artificial Intelligence,49147.0,USD,4106723.32
Illinois Institute of Technology,Illinois,United States,MASc in Artificial Intelligence,Artificial Intelligence,34240.0,USD,2861094.4
Illinois Institute of Technology,Illinois,United States,MEng in Artificial Intelligence for Computer Vision and Control,Artificial Intelligence,34240.0,USD,2861094.4
University of Florida,Florida,United States,MS in Artificial Intelligent Systems,Artificial Intelligence,30134.0,USD,2517997.04
"University of California, Los Angeles",California,United States,MEng in Artificial Intelligence,Artificial Intelligence,33238.0,USD,2777367.28
University of Toronto,Ontario,Canada,MSc in Applied Computing- Artificial Intelligence in Healthcare,Artificial Intelligence,58496.0,CAD,3568256.0
Stony Brook University,New York,United States,MS in Engineering Artificial Intelligence,Artificial Intelligence,20400.0,USD,1704624.0
University of Cincinnati,Ohio,United States,MEng in Artificial Intelligence,Artificial Intelligence,39990.0,USD,3341564.4
New Jersey Institute of Technology,New Jersey,United States,MS in Artificial Intelligence,Artificial Intelligence,35200.0,USD,2941312.0
Rochester Institute of Technology,New York,United States,MS in Artificial Intelligence,Artificial Intelligence,36945.0,USD,3087124.2
Stevens Institute of Technology,New Jersey,United States,MEng in Applied Artificial Intelligence,Artificial Intelligence,42828.0,USD,3578707.68
Stevens Institute of Technology,New Jersey,United States,MS in Applied Artificial Intelligence,Artificial Intelligence,47580.0,USD,3975784.8
Northwestern University,Illinois,United States,MS in Artificial Intelligence,Artificial Intelligence,88000.0,USD,7353280.0
Boston University,Massachusetts,United States,MS in Artificial Intelligence,Artificial Intelligence,63798.0,USD,5330960.88
Iowa State University,Iowa,United States,MS in Artificial Intelligence,Artificial Intelligence,25560.0,USD,2135793.6
University of North Texas,Texas,United States,MS in Artificial Intelligence,Artificial Intelligence,23414.0,USD,1956473.84
Duke University,North Carolina,United States,MEng in Artificial Intelligence,Artificial Intelligence,75877.0,USD,6340282.12
"University of Michigan, Dearborn",Michigan,United States,MS in Artificial Intelligence,Artificial Intelligence,32800.0,USD,2740768.0
York University,Toronto,Canada,MM in Artificial Intelligence,Artificial Intelligence,88350.0,CAD,5389350.0
Oregon State University,Oregon,United States,MS in Artificial Intelligence,Artificial Intelligence,25785.0,USD,2154594.6
Toronto Metropolitan University,Toronto,Canada,MEng in Artificial Intelligence,Artificial Intelligence,28389.0,CAD,1731729.0
Worcester Polytechnic Institute,Massachusetts,United States,MS in Artificial Intelligence (AI),Artificial Intelligence,24150.0,USD,2017974.0
Worcester Polytechnic Institute,Massachusetts,United States,MS in Artificial Intelligence (AI),Artificial Intelligence,24150.0,USD,2017974.0
San Francisco State University,California,United States,MS in Data Science and Artificial Intelligence,Artificial Intelligence,21700.0,USD,1813252.0
Wayne State University,Michigan,United States,MS in Artificial Intelligence,Artificial Intelligence,30077.0,USD,2513234.12
Kent State University,Ohio,United States,MS in Artificial Intelligence,Artificial Intelligence,15990.0,USD,1336124.4
DePaul University,Illinois,United States,MS in Artificial Intelligence,Artificial Intelligence,22920.0,USD,1915195.2
Imperial College London,London,United Kingdom,MSc in Artificial Intelligence,Artificial Intelligence,41750.0,GBP,4414645.0
Monash University,Victoria,Australia,Masters in Artificial Intelligence,Artificial Intelligence,49500.0,AUD,2758635.0
University of Texas at San Antonio,Texas,United States,MS in Artificial Intelligence,Artificial Intelligence,32500.0,USD,2715700.0
Nanyang Technological University,Singapore,Singapore,MS in Artificial Intelligence,Artificial Intelligence,54300.0,SGD,3348138.0
University of Georgia,Georgia,United States,MS in Artificial Intelligence,Artificial Intelligence,21000.0,USD,1754760.0
Memorial University of Newfoundland,Newfoundland & Labrador,Canada,Masters in Artificial Intelligence,Artificial Intelligence,22517.0,CAD,1373537.0
Deakin University,Victoria,Australia,Masters in Applied Artificial Intelligence,Artificial Intelligence,39800.0,AUD,2218054.0
Deakin University,Victoria,Australia,Masters in Applied Artificial Intelligence (Professional),Artificial Intelligence,39800.0,AUD,2218054.0
RMIT University,Victoria,Australia,Masters in Artificial Intelligence,Artificial Intelligence,39360.0,AUD,2193532.8
University of Bridgeport,Connecticut,United States,Masters in Artificial Intelligence,Artificial Intelligence,17765.0,USD,1484443.4
Technische Universität Darmstadt,Hesse,Germany,MSc in Artificial Intelligence and Machine Learning,Artificial Intelligence,,EUR,
The University of Edinburgh,Edinburgh,United Kingdom,MSc in Artificial Intelligence,Artificial Intelligence,40900.0,GBP,4324766.0
Lawrence Technological University,Michigan,United States,MS in Artificial Intelligence,Artificial Intelligence,44400.0,USD,3710064.0
University of Guelph,Ontario,Canada,MSc in Computer Science - Artificial Intelligence,Artificial Intelligence,20511.0,CAD,1251171.0
Friedrich-Alexander-Universität Erlangen-Nürnberg,Bavaria,Germany,MSc in Artificial Intelligence,Artificial Intelligence,,EUR,
Laval University,Quebec,Canada,MSc in Informatics - Artificial Intelligence,Artificial Intelligence,17933.0,CAD,1093913.0
Saarland University,Saarland,Germany,MSc in Data Science and Artificial Intelligence,Artificial Intelligence,,EUR,
The University of Adelaide,South Australia,Australia,Masters in Artificial Intelligence and Machine Learning,Artificial Intelligence,51000.0,AUD,2842230.0
University of Warwick,Coventry,United Kingdom,"MSc in Smart, Connected and Autonomous Vehicles",Artificial Intelligence,31450.0,GBP,3325523.0
"Curtin University, Perth",Western Australia,Australia,Masters in Artificial Intelligence,Artificial Intelligence,33005.0,AUD,1839368.65
Eindhoven University of Technology,North Brabant,Netherlands,MSc in Artificial Intelligence Engineering Systems,Artificial Intelligence,16700.0,EUR,1492145.0
University of Technology Sydney,New South Wales,Australia,Masters in Artificial Intelligence,Artificial Intelligence,50976.0,AUD,2840892.48
"Long Island University, Brooklyn",New York,United States,MS in Artificial Intelligence,Artificial Intelligence,20685.0,USD,1728438.6
King's College London,London,United Kingdom,MSc in Artificial Intelligence,Artificial Intelligence,35244.0,GBP,3726700.56
University of Amsterdam,Amsterdam,Netherlands,MSc in Artificial Intelligence,Artificial Intelligence,17380.0,EUR,1552903.0
La Trobe University,Melbourne,Australia,Masters in Artificial Intelligence,Artificial Intelligence,39400.0,AUD,2195762.0
