University Name,State,Country,Course Name,course,Average Fees (Per Year),Currency,Average Fees in INR
"Northeastern University, Boston",Massachusetts,United States,Masters in Architecture - Three-Year Track,Architecture,65659.0,USD,5486466.04
"Northeastern University, Boston",Massachusetts,United States,Masters in Architecture,Architecture,67626.0,USD,5650828.56
"Texas A&M University, College Station",Texas,United States,Masters in Architecture,Architecture,50985.0,USD,4260306.6
University of Southern California,California,United States,MArch in Architecture,Architecture,47080.0,USD,3934004.8
University of Southern California,California,United States,Masters in Advanced Architectural Studies,Architecture,42735.0,USD,3570936.6
Georgia Institute of Technology,Georgia,United States,MS in Architecture,Architecture,36450.0,USD,3045762.0
Georgia Institute of Technology,Georgia,United States,Masters in Architecture,Architecture,41430.0,USD,3461890.8
University of Texas at Austin,Texas,United States,Masters in Architecture,Architecture,68576.0,USD,5730210.56
University of Texas at Austin,Texas,United States,Masters in Architecture,Architecture,19286.0,USD,1611538.16
University of Texas at Austin,Texas,United States,Masters in Architecture,Architecture,19286.0,USD,1611538.16
University of Texas at Austin,Texas,United States,Masters in Architecture,Architecture,19286.0,USD,1611538.16
University at Buffalo SUNY,New York,United States,Masters in Architecture,Architecture,26520.0,USD,2216011.2
The University of Texas at Arlington,Texas,United States,MArch in Architecture,Architecture,23486.0,USD,1962490.16
"North Carolina State University, Raleigh",North Carolina,United States,MArch in Architecture,Architecture,39244.0,USD,3279228.64
University of Illinois at Chicago,Illinois,United States,MArch in Architecture,Architecture,25990.0,USD,2171724.4
Carnegie Mellon University,Pennsylvania,United States,Masters in Architecture,Architecture,41000.0,USD,3425960.0
"University of Maryland, College Park",Maryland,United States,MA in Architecture,Architecture,,USD,
"The University of British Columbia, Vancouver",British Columbia,Canada,Masters in Architecture,Architecture,49520.0,CAD,3020720.0
"The University of British Columbia, Vancouver",British Columbia,Canada,MASA in Advanced Studies in Architecture,Architecture,9154.0,CAD,558394.0
Arizona State University,Arizona,United States,MArch in Architecture,Architecture,38520.0,USD,3218731.2
University of North Carolina at Charlotte,North Carolina,United States,MArch in Architecture,Architecture,34620.0,USD,2892847.2
"University of Michigan, Ann Arbor",Michigan,United States,MArch in Architecture,Architecture,55639.0,USD,4649194.84
"University of Michigan, Ann Arbor",Michigan,United States,MS in Architecture Design and Research,Architecture,53272.0,USD,4451408.32
Illinois Institute of Technology,Illinois,United States,MArch in Architecture,Architecture,58208.0,USD,4863860.48
University of Florida,Florida,United States,Masters in Architecture,Architecture,30134.0,USD,2517997.04
Columbia University,New York,United States,Masters in Architecture,Architecture,65100.0,USD,5439756.0
University of Illinois at Urbana-Champaign,Illinois,United States,Masters in Architecture,Architecture,30910.0,USD,2582839.6
University of Illinois at Urbana-Champaign,Illinois,United States,MS in Architectural Studies,Architecture,29034.0,USD,2426081.04
"University of California, Berkeley",California,United States,Masters in Advanced Architectural Design,Architecture,24508.0,USD,2047888.48
"University of California, Berkeley",California,United States,MArch in Architecture,Architecture,24508.0,USD,2047888.48
Pennsylvania State University,Pennsylvania,United States,Masters in Architecture,Architecture,44996.0,USD,3759865.76
Pennsylvania State University,Pennsylvania,United States,MS in Architecture,Architecture,43260.0,USD,3614805.6
"University of California, Los Angeles",California,United States,MS in Architecture and Urban Design,Architecture,54951.0,USD,4591705.56
"University of California, Los Angeles",California,United States,MArch in Architecture,Architecture,33238.0,USD,2777367.28
"University of Minnesota, Twin Cities",Minnesota,United States,MArch in Architecture,Architecture,36840.0,USD,3078350.4
University of Pennsylvania,Pennsylvania,United States,Masters in Advanced Architectural Design,Architecture,58678.0,USD,4903133.68
University of Pennsylvania,Pennsylvania,United States,MArch in Architecture,Architecture,58678.0,USD,4903133.68
University of Washington,Washington,United States,MS in Arch in Design Technology,Architecture,38898.0,USD,3250316.88
University of Washington,Washington,United States,MArch in Architecture,Architecture,38898.0,USD,3250316.88
University of Toronto,Ontario,Canada,Masters in Architecture,Architecture,51390.0,CAD,3134790.0
Massachusetts Institute of Technology,Massachusetts,United States,Masters in Architecture Studies - Computation,Architecture,57590.0,USD,4812220.4
Massachusetts Institute of Technology,Massachusetts,United States,MArch in Architecture,Architecture,61990.0,USD,5179884.4
Virginia Tech,Virginia,United States,MArch in Architecture (MArch 3),Architecture,47740.0,USD,3989154.4
University of Cincinnati,Ohio,United States,MS in Architecture,Architecture,18662.0,USD,1559396.72
University of Cincinnati,Ohio,United States,Masters in Architecture,Architecture,43989.0,USD,3675720.84
University of Waterloo,Ontario,Canada,MArch in Architecture,Architecture,39941.0,CAD,2436401.0
University of Waterloo,Ontario,Canada,MArch (Water) in Architecture,Architecture,35796.0,CAD,2183556.0
Syracuse University,New York,United States,MArch in Architecture,Architecture,57664.0,USD,4818403.84
Syracuse University,New York,United States,MS in Architecture,Architecture,37842.0,USD,3162077.52
New Jersey Institute of Technology,New Jersey,United States,MS in Architecture,Architecture,35200.0,USD,2941312.0
New Jersey Institute of Technology,New Jersey,United States,MArch in Architecture,Architecture,31680.0,USD,2647180.8
University of Massachusetts Amherst,Massachusetts,United States,Masters in Architecture,Architecture,51357.0,USD,4291390.92
Rochester Institute of Technology,New York,United States,Masters in Architecture,Architecture,64654.0,USD,5402488.24
Stanford University,California,United States,Masters in Architecture,Architecture,,USD,
Cornell University,New York,United States,MS in Architectural Science,Architecture,29500.0,USD,2465020.0
Cornell University,New York,United States,Masters in Architecture,Architecture,65204.0,USD,5448446.24
Cornell University,New York,United States,MS in Architectural Science(24 Months),Architecture,29500.0,USD,2465020.0
University of Houston,Texas,United States,Masters in Architecture Level III,Architecture,35277.0,USD,2947746.12
University of Houston,Texas,United States,Masters in Architecture (MARCH +2),Architecture,32430.0,USD,2709850.8
University of Houston,Texas,United States,MS in Architecture,Architecture,38916.0,USD,3251820.96
University of Houston,Texas,United States,MArch in Architecture  (MARCH +2),Architecture,32070.0,USD,2679769.2
University of Houston,Texas,United States,MA in Architectural studies,Architecture,32070.0,USD,2679769.2
University of South Florida,Florida,United States,MArch in Architecture,Architecture,23787.0,USD,1987641.72
University of Wisconsin-Madison,Wisconsin,United States,MArch in Architecture,Architecture,25548.0,USD,2134790.88
McGill University,Montreal,Canada,Masters in Architecture,Architecture,27011.0,CAD,1647671.0
Ohio State University,Ohio,United States,Masters in Architecture,Architecture,43638.0,USD,3646391.28
Indiana University Bloomington,Indiana,United States,MArch in Architecture,Architecture,39194.0,USD,3275050.64
Clemson University,South Carolina,United States,MArch in Architecture,Architecture,27238.0,USD,2276007.28
University of Arizona,Arizona,United States,MS in Architecture,Architecture,20754.0,USD,1734204.24
University of Arizona,Arizona,United States,MArch in Architecture II,Architecture,35743.0,USD,2986685.08
Boston University,Massachusetts,United States,MS in Architecture,Architecture,19737.0,USD,1649223.72
Iowa State University,Iowa,United States,MArch in Architecture,Architecture,55410.0,USD,4630059.6
Iowa State University,Iowa,United States,MS in Architecture,Architecture,33740.0,USD,2819314.4
Harvard University,Massachusetts,United States,MArch in Architecture,Architecture,57200.0,USD,4779632.0
Technical University of Munich,Bavaria,Germany,MA in Architecture,Architecture,14240.0,EUR,1272344.0
The University of Utah,Utah,United States,MArch in Architecture,Architecture,31182.0,USD,2605567.92
The University of Utah,Utah,United States,MS in Architectural Studies,Architecture,30622.0,USD,2558774.32
Texas Tech University,Texas,United States,MArch in Architecture,Architecture,26940.0,USD,2251106.4
Texas Tech University,Texas,United States,MS in Architecture,Architecture,16180.0,USD,1352000.8
Carleton University,Ottawa,Canada,MArch in Architecture,Architecture,19449.0,CAD,1186389.0
University of Calgary,Alberta,Canada,MArch in Architecture,Architecture,23730.0,CAD,1447530.0
Dalhousie University,Nova Scotia,Canada,Masters in Architecture,Architecture,12119.0,CAD,739259.0
Toronto Metropolitan University,Toronto,Canada,MArch in Architecture,Architecture,28390.0,CAD,1731790.0
University of Virginia,Virginia,United States,MArch in Architecture,Architecture,35660.0,USD,2979749.6
Princeton University,New Jersey,United States,MArch in Architecture,Architecture,59710.0,USD,4989367.6
Yale University,Connecticut,United States,Masters in Architecture I,Architecture,60214.0,USD,5031481.84
RWTH Aachen University,North Rhine-Westphilia,Germany,Masters in Architecture,Architecture,,EUR,
University of Colorado at Denver,Colorado,United States,MArch in Architecture,Architecture,42000.0,USD,3509520.0
"New York Institute of Technology, NY Campus",New York,United States,"MS in Architecture, Health and Design",Architecture,22050.0,USD,1842498.0
"New York Institute of Technology, NY Campus",New York,United States,"MS in Architecture, Computational Technologies",Architecture,46200.0,USD,3860472.0
"New York Institute of Technology, NY Campus",New York,United States,Masters in Architecture,Architecture,46200.0,USD,3860472.0
"New York Institute of Technology, NY Campus",New York,United States,"MS in Architecture, Urban Design",Architecture,48600.0,USD,4061016.0
Rice University,Texas,United States,Masters in Architecture,Architecture,54100.0,USD,4520596.0
Delft University of Technology,South Holland,Netherlands,Masters in Architecture,Architecture,19600.0,EUR,1751260.0
The University of Melbourne,Victoria,Australia,MArch in Architecture,Architecture,49088.0,AUD,2735674.24
Kansas State University,Kansas,United States,MS in Architecture,Architecture,15105.0,USD,1262173.8
National University Of Singapore,Singapore,Singapore,MArch in Architecture,Architecture,39474.0,SGD,2433966.84
Technical University of Berlin,Berlin,Germany,MSc in Architecture Typology,Architecture,226.0,EUR,20193.1
Washington State University,Washington,United States,MArch in Architecture,Architecture,43659.0,USD,3648146.04
Kent State University,Ohio,United States,MArch in Architecture,Architecture,23452.0,USD,1959649.12
Florida International University,Florida,United States,MArch in Architecture,Architecture,35070.0,USD,2930449.2
University of Oklahoma,Oklahoma,United States,Masters in Architecture,Architecture,15825.0,USD,1322337.0
Dartmouth College,New Hampshire,United States,Masters in Architecture,Architecture,,USD,
Rensselaer Polytechnic Institute,New York,United States,MS in Architectural Science,Architecture,60360.0,USD,5043681.6
Portland State University,Oregon,United States,Masters in Architecture,Architecture,27158.0,USD,2269322.48
Washington University in St. Louis,Missouri,United States,MS in Architectural Studies,Architecture,59610.0,USD,4981011.6
Washington University in St. Louis,Missouri,United States,MArch in Architecture,Architecture,59610.0,USD,4981011.6
"University of Missouri, Columbia",Missouri,United States,MS in Architectural Studies,Architecture,25000.0,USD,2089000.0
The University of New South Wales,New South Wales,Australia,MArch in Architecture,Architecture,42575.0,AUD,2372704.75
University of Montreal,Quebec,Canada,MArch in Architecture,Architecture,26942.0,CAD,1643462.0
Monash University,Victoria,Australia,Masters in Architecture,Architecture,47500.0,AUD,2647175.0
University of Wisconsin-Milwaukee,Wisconsin,United States,MS in Architecture,Architecture,27690.0,USD,2313776.4
University of Wisconsin-Milwaukee,Wisconsin,United States,Masters in Architecture,Architecture,55380.0,USD,4627552.8
The University of Kansas,Kansas,United States,MA in Architecture,Architecture,18864.0,USD,1576275.84
University of Texas at San Antonio,Texas,United States,MS in Architecture,Architecture,22176.0,USD,1853026.56
University of Manitoba,Manitoba,Canada,MArch in Architecture,Architecture,7131.0,CAD,434991.0
ETH Zurich,Z'rich,Switzerland,MS in MAS ETH in Architecture and Digital Fabrication,Architecture,14960.0,CHF,1399059.2
ETH Zurich,Z'rich,Switzerland,Masters in Architecture,Architecture,1460.0,CHF,136539.2
University of Cambridge,Cambridgeshire,United Kingdom,MPhil in Architecture and Urban Studies,Architecture,39024.0,GBP,4126397.76
University of Cambridge,Cambridgeshire,United Kingdom,MArch in Architecture (ARB/RIBA Part 2),Architecture,34803.0,GBP,3680069.22
University of Cambridge,Cambridgeshire,United Kingdom,MPhil in Architecture,Architecture,31860.0,GBP,3368876.4
University of Stuttgart,Baden-Warttemberg,Germany,MSc in Integrative Technologies and Architectural Design Research (ITECH),Architecture,3000.0,EUR,268050.0
University of Tennessee at Knoxville,Tennessee,United States,Masters in Architecture,Architecture,33660.0,USD,2812629.6
University of Tennessee at Knoxville,Tennessee,United States,Masters in Architecture 3G,Architecture,32698.0,USD,2732244.88
Deakin University,Victoria,Australia,Masters in Architecture (Research),Architecture,34400.0,AUD,1917112.0
"Deakin University, Melbourne",Victoria,Australia,Masters in Architecture,Architecture,38000.0,AUD,2117740.0
Temple University,Pennsylvania,United States,MFA in Glass,Architecture,50460.0,USD,4216437.6
Temple University,Pennsylvania,United States,Masters in Architecture,Architecture,47700.0,USD,3985812.0
"Southern Illinois University, Carbondale",Illinois,United States,Masters in Architecture,Architecture,50652.0,USD,4232481.12
The University of Sydney,New South Wales,Australia,Masters in Architecture,Architecture,44000.0,AUD,2452120.0
The University of Sydney,New South Wales,Australia,Masters in Heritage Conservation,Architecture,45500.0,AUD,2535715.0
The University of Sydney,New South Wales,Australia,Masters in Architectural Science (Sustainable Design),Architecture,45500.0,AUD,2535715.0
RMIT University,Victoria,Australia,MDes in Architecture and Design,Architecture,39360.0,AUD,2193532.8
RMIT University,Victoria,Australia,Masters in Architecture,Architecture,48000.0,AUD,2675040.0
Louisiana State University,Louisiana,United States,Masters in Architecture,Architecture,52352.0,USD,4374533.12
KTH Royal Institute of Technology,Stockholms l'n,Sweden,MSc in Architecture,Architecture,260000.0,SEK,2067000.0
Karlsruhe Institute of Technology,Baden-Warttemberg,Germany,Masters in Architecture,Architecture,3000.0,EUR,268050.0
