University Name,State,Country,Course Name,course,Average Fees (Per Year),Currency,Average Fees in INR
"Northeastern University, Boston",Massachusetts,United States,MS in Civil Engineering,Civil,28816.0,USD,2407864.96
"Texas A&M University, College Station",Texas,United States,MEng in Civil Engineering,Civil,25180.0,USD,2104040.8
"Texas A&M University, College Station",Texas,United States,MS in Civil Engineering,Civil,25180.0,USD,2104040.8
University of Southern California,California,United States,MS in Civil Engineering,Civil,45248.0,USD,3780922.88
Georgia Institute of Technology,Georgia,United States,MS in Civil Engineering,Civil,24300.0,USD,2030508.0
University of Texas at Austin,Texas,United States,MS in Civil Engineering,Civil,38460.0,USD,3213717.6
University at Buffalo SUNY,New York,United States,MS in Civil Engineering,Civil,20220.0,USD,1689583.2
The University of Texas at Arlington,Texas,United States,MS in Civil Engineering,Civil,26360.0,USD,2202641.6
The University of Texas at Arlington,Texas,United States,MEng in Civil Engineering,Civil,26360.0,USD,2202641.6
New York University,New York,United States,MS in Civil Engineering,Civil,42040.0,USD,3512862.4
San Jose State University,California,United States,MS in Civil Engineering,Civil,14760.0,USD,1233345.6
Purdue University West Lafayette,Indiana,United States,MS in Civil Engineering,Civil,35640.0,USD,2978078.4
"North Carolina State University, Raleigh",North Carolina,United States,MS in Civil Engineering,Civil,34000.0,USD,2841040.0
University of Illinois at Chicago,Illinois,United States,MS in Civil Engineering,Civil,23328.0,USD,1949287.68
"The University of British Columbia, Vancouver",British Columbia,Canada,MASc in Civil Engineering,Civil,9690.0,CAD,591090.0
"The University of British Columbia, Vancouver",British Columbia,Canada,MEng in Civil Engineering,Civil,23913.0,CAD,1458693.0
University of North Carolina at Charlotte,North Carolina,United States,MS in Civil Engineering,Civil,23540.0,USD,1967002.4
"University of Michigan, Ann Arbor",Michigan,United States,MSE in Civil Engineering,Civil,72560.0,USD,6063113.6
Illinois Institute of Technology,Illinois,United States,MS in Civil Engineering,Civil,28480.0,USD,2379788.8
University of Florida,Florida,United States,MS in Civil Engineering,Civil,30134.0,USD,2517997.04
University of Florida,Florida,United States,"MS in Civil, Construction, Structural Engineering",Civil,18825.0,USD,1573017.0
Columbia University,New York,United States,MS in Civil Engineering and Engineering Mechanics,Civil,73860.0,USD,6171741.6
Columbia University,New York,United States,Masters in Natural Hazards and Catastrophes,Civil,,USD,
