University Name,State,Country,Course Name,course,Average Fees (Per Year),Currency,Average Fees in INR
"Northeastern University, Boston",Massachusetts,United States,MS in Computer Science (Align),Computer Science and Engineering,31416.0,USD,2625120.96
"Northeastern University, Boston",Massachusetts,United States,MS in Computer Science,Computer Science and Engineering,28560.0,USD,2386473.6
"Texas A&M University, College Station",Texas,United States,Masters in Computer Science,Computer Science and Engineering,25000.0,USD,2089000.0
"Texas A&M University, College Station",Texas,United States,MS in Computer Science,Computer Science and Engineering,18885.0,USD,1578030.6
The University of Texas at Dallas,Texas,United States,MS in Computer Science,Computer Science and Engineering,40172.0,USD,3356772.32
University of Southern California,California,United States,MS in Computer Science,Computer Science and Engineering,40688.0,USD,3399889.28
University of Southern California,California,United States,MS in Computer Science - Game Development,Computer Science and Engineering,38784.0,USD,3240791.04
University of Southern California,California,United States,MS in Computer Science (Non - Thesis),Computer Science and Engineering,38784.0,USD,3240791.04
University of Southern California,California,United States,Masters in Computer Science - Thesis,Computer Science and Engineering,54251.0,USD,4533213.56
University of Southern California,California,United States,MS in Computer Science - Scientists and Engineers,Computer Science and Engineering,47046.0,USD,3931163.76
University of Southern California,California,United States,MS in Computer Science - Software Engineering,Computer Science and Engineering,51712.0,USD,4321054.72
University of Southern California,California,United States,MSc in Computer Science (Computer Networks),Computer Science and Engineering,38784.0,USD,3240791.04
Georgia Institute of Technology,Georgia,United States,MS in Computer Science,Computer Science and Engineering,24300.0,USD,2030508.0
University of Texas at Austin,Texas,United States,MS in Computer Science (Thesis),Computer Science and Engineering,38260.0,USD,3197005.6
University of Texas at Austin,Texas,United States,MS in Computer Science (Coursework),Computer Science and Engineering,38260.0,USD,3197005.6
University of Texas at Austin,Texas,United States,MS in Computer Science- Thesis,Computer Science and Engineering,28695.0,USD,2397754.2
University at Buffalo SUNY,New York,United States,MS in Computer Science and Engineering,Computer Science and Engineering,20220.0,USD,1689583.2
The University of Texas at Arlington,Texas,United States,MS in Computer Science,Computer Science and Engineering,26360.0,USD,2202641.6
New York University,New York,United States,MS in Computer Science,Computer Science and Engineering,35025.0,USD,2926689.0
