University Name,State,Country,Course Name,course,Average Fees (Per Year),Currency,Average Fees in INR
"Northeastern University, Boston",Massachusetts,United States,MS in Data Science,Data Science,29696.0,USD,2481397.76
"Northeastern University, Boston",Massachusetts,United States,MS in Data Analytics Engineering,Data Science,29824.0,USD,2492093.44
"Northeastern University, Boston",Massachusetts,United States,MS in Data Science (Align),Data Science,28688.0,USD,2397169.28
"Northeastern University, Boston",Massachusetts,United States,MS in Data Analytics,Data Science,27850.0,USD,2327146.0
"Texas A&M University, College Station",Texas,United States,MS in Data Science,Data Science,28183.0,USD,2354971.48
The University of Texas at Dallas,Texas,United States,MS in Social Data Analytics and Research,Data Science,30366.0,USD,2537382.96
University of Southern California,California,United States,MS in Applied Data Science,Data Science,38784.0,USD,3240791.04
University of Southern California,California,United States,MS in Computer Science -Data Science,Data Science,40688.0,USD,3399889.28
University of Southern California,California,United States,MS in Spatial Data Science,Data Science,38784.0,USD,3240791.04
University at Buffalo SUNY,New York,United States,Masters in Data Sciences and Applications,Data Science,30330.0,USD,2534374.8
The University of Texas at Arlington,Texas,United States,MS in Applied Statistics and Data Science,Data Science,26360.0,USD,2202641.6
The University of Texas at Arlington,Texas,United States,MS in Data Science,Data Science,19770.0,USD,1651981.2
New York University,New York,United States,MS in Data Science,Data Science,38826.0,USD,3244300.56
San Jose State University,California,United States,MS in Data Analytics,Data Science,15645.0,USD,1307296.2
San Jose State University,California,United States,MS in Data Science,Data Science,18774.0,USD,1568755.44
"North Carolina State University, Raleigh",North Carolina,United States,MS in Foundations of Data Science,Data Science,32700.0,USD,2732412.0
"North Carolina State University, Raleigh",North Carolina,United States,MS in Analytics,Data Science,52201.0,USD,4361915.56
Carnegie Mellon University,Pennsylvania,United States,MS in Data Analytics for Science,Data Science,48775.0,USD,4075639.0
Carnegie Mellon University,Pennsylvania,United States,Masters in Computational Data Science,Data Science,64211.0,USD,5365471.16
Carnegie Mellon University,Pennsylvania,United States,Masters in Information Systems Management - Business Intelligence & Data Analytics,Data Science,61639.0,USD,5150554.84
Carnegie Mellon University,Pennsylvania,United States,Masters in Applied Data Science,Data Science,42473.0,USD,3549043.88
Carnegie Mellon University,Pennsylvania,United States,Masters in Computational and Data Science,Data Science,55940.0,USD,4674346.4
"University of California, San Diego",California,United States,Masters in Data Science and Engineering,Data Science,19665.0,USD,1643207.4
"University of California, San Diego",California,United States,MS in Data Science,Data Science,27366.0,USD,2286702.96
"University of Maryland, College Park",Maryland,United States,MS in Data Science,Data Science,20000.0,USD,1671200.0
"The University of British Columbia, Vancouver",British Columbia,Canada,Masters in Data Science,Data Science,54732.0,CAD,3338652.0
Arizona State University,Arizona,United States,"MS in Data Science, Analytics and Engineering (Bayesian Machine Learning)",Data Science,32100.0,USD,2682276.0
Arizona State University,Arizona,United States,"MS in Data Science, Analytics and Engineering (Computing and Decision Analytics)",Data Science,24075.0,USD,2011707.0
Arizona State University,Arizona,United States,MS in Program Evaluation and Data Analytics,Data Science,26483.0,USD,2212919.48
Arizona State University,Arizona,United States,"MS in Data Science, Analytics and Engineering (Electrical Engineering)",Data Science,32100.0,USD,2682276.0
Arizona State University,Arizona,United States,"MS in Data Science, Analytics and Engineering (Computational Models and Data)",Data Science,32100.0,USD,2682276.0
Arizona State University,Arizona,United States,"MS in Data Science, Analytics and Engineering (Human-Centered Applications)",Data Science,32100.0,USD,2682276.0
Arizona State University,Arizona,United States,"MSc in Data Science, Analytics and Engineering (Materials Science and Engineering)",Data Science,32100.0,USD,2682276.0
Arizona State University,Arizona,United States,"MS in Data Science, Analytics and Engineering (Sustainable Engineering and Built Environment)",Data Science,32100.0,USD,2682276.0
Arizona State University,Arizona,United States,"MS in Data Science, Analytics and Engineering (Mechanical and Aerospace Engineering)",Data Science,32100.0,USD,2682276.0
"University of Michigan, Ann Arbor",Michigan,United States,MS in Data Science,Data Science,67820.0,USD,5667039.2
"University of Michigan, Ann Arbor",Michigan,United States,Masters in Predictive Analytics,Data Science,,USD,
Illinois Institute of Technology,Illinois,United States,MASc in Data Science,Data Science,56496.0,USD,4720805.76
University of Florida,Florida,United States,MS in Applied Data Science,Data Science,30134.0,USD,2517997.04
Columbia University,New York,United States,MS in Data Science,Data Science,49240.0,USD,4114494.4
Columbia University,New York,United States,MS in Applied Analytics,Data Science,91296.0,USD,7628693.76
"University of California, Berkeley",California,United States,Masters in Analytics,Data Science,27366.0,USD,2286702.96
"University of California, Berkeley",California,United States,Masters in Information and Data Sciences,Data Science,73224.0,USD,6118597.44
Pennsylvania State University,Pennsylvania,United States,MS in Data Analytics,Data Science,28155.0,USD,2352631.8
Pennsylvania State University,Pennsylvania,United States,MS in Professional Studies in Data Analytics,Data Science,38300.0,USD,3200348.0
"University of California, Los Angeles",California,United States,Masters in Data Science in Health,Data Science,34491.0,USD,2882067.96
"University of California, Los Angeles",California,United States,MEng in Data Science,Data Science,36488.0,USD,3048937.28
"University of California, Irvine",California,United States,Masters in Data Science,Data Science,43840.0,USD,3663270.4
"University of Minnesota, Twin Cities",Minnesota,United States,MS in Data Science,Data Science,20383.0,USD,1703203.48
University of Pennsylvania,Pennsylvania,United States,MSE in Data Science,Data Science,54500.0,USD,4554020.0
University of Washington,Washington,United States,MS in Data Science,Data Science,34200.0,USD,2857752.0
"Rutgers University, New Brunswick",New Jersey,United States,MS in Data Science,Data Science,47160.0,USD,3940689.6
"Rutgers University, New Brunswick",New Jersey,United States,Masters in Business & Science - Analytics: Discovery Informatics & Data Sciences,Data Science,40277.0,USD,3365546.12
University of Toronto,Ontario,Canada,MS in Applied Computing - Data Science,Data Science,58496.0,CAD,3568256.0
Virginia Tech,Virginia,United States,MA in Data Analysis and Applied Statistics,Data Science,35200.0,USD,2941312.0
Stony Brook University,New York,United States,MS in Data Science,Data Science,24480.0,USD,2045548.8
University of Waterloo,Ontario,Canada,Masters in Data Science and Artificial Intelligence (Co-op),Data Science,55824.0,CAD,3405264.0
University of Waterloo,Ontario,Canada,Masters in Data Science - MMath,Data Science,25537.0,CAD,1557757.0
University of Waterloo,Ontario,Canada,Masters in Data Science and Artificial Intelligence,Data Science,55684.0,CAD,3396724.0
New Jersey Institute of Technology,New Jersey,United States,MS in Data Science,Data Science,35200.0,USD,2941312.0
New Jersey Institute of Technology,New Jersey,United States,MS in  Data Science (Computing Concentration),Data Science,35200.0,USD,2941312.0
New Jersey Institute of Technology,New Jersey,United States,Graduate certificate in Data Mining,Data Science,10560.0,USD,882393.6
New Jersey Institute of Technology,New Jersey,United States,MS in Data Science - Statistics Track,Data Science,35200.0,USD,2941312.0
University of Massachusetts Amherst,Massachusetts,United States,MS in  Data Analytics and Computational Social Science,Data Science,36040.0,USD,3011502.4
University of Colorado Boulder,Colorado,United States,MS in Data Science,Data Science,30640.0,USD,2560278.4
Rochester Institute of Technology,New York,United States,MS in Data Science,Data Science,36945.0,USD,3087124.2
Cornell University,New York,United States,Masters in Applied Statistics and Data Science (MPS),Data Science,68380.0,USD,5713832.8
Stevens Institute of Technology,New Jersey,United States,MS in Data Science,Data Science,42828.0,USD,3578707.68
Stevens Institute of Technology,New Jersey,United States,MS in Data Science: Data Acquisition and Management,Data Science,42828.0,USD,3578707.68
University of Houston,Texas,United States,MS in Statistics and Data Science,Data Science,28230.0,USD,2358898.8
University of Houston,Texas,United States,MS in Engineering Data Science,Data Science,21380.0,USD,1786512.8
University of Houston,Texas,United States,Masters in Data Analytics,Data Science,18270.0,USD,1526641.2
University of South Florida,Florida,United States,MS in Data Intelligence,Data Science,18260.0,USD,1525805.6
University of Wisconsin-Madison,Wisconsin,United States,MS in Data Science,Data Science,32000.0,USD,2673920.0
Michigan State University,Michigan,United States,MS in Data Science,Data Science,19500.0,USD,1629420.0
McGill University,Montreal,Canada,Masters in Information Studies - Course Work,Data Science,28362.0,CAD,1730082.0
San Diego State University,California,United States,MS in Big Data Analytics,Data Science,15645.0,USD,1307296.2
"University of Maryland, Baltimore County",Maryland,United States,Masters in Professional Studies: Data Science,Data Science,21750.0,USD,1817430.0
Georgia State University,Georgia,United States,MS in Data Science and Analytics- Big Data and Machine Learning,Data Science,45324.0,USD,3787273.44
Georgia State University,Georgia,United States,MS in Data Science and Analytics,Data Science,48150.0,USD,4023414.0
Indiana University Bloomington,Indiana,United States,MS in Data Science,Data Science,32703.0,USD,2732662.68
George Mason University,Virginia,United States,MS in Data Analytics Engineering,Data Science,29720.0,USD,2483403.2
University of Arizona,Arizona,United States,MS in Statistics and Data Science,Data Science,24802.0,USD,2072455.12
University of Arizona,Arizona,United States,MS in Data Science,Data Science,35880.0,USD,2998132.8
Boston University,Massachusetts,United States,MS in Applied Data Analytics,Data Science,66670.0,USD,5570945.2
Boston University,Massachusetts,United States,MS in Data Science,Data Science,67626.0,USD,5650828.56
Harvard University,Massachusetts,United States,Masters in Data Science,Data Science,63624.0,USD,5316421.44
Colorado State University,Colorado,United States,Masters in Applied Statistics - Data Science,Data Science,47580.0,USD,3975784.8
"University of California, Santa Barbara",California,United States,Masters in Environmental Data Science,Data Science,30233.0,USD,2526269.48
"California State University, Los Angeles",California,United States,MEng in Data Science,Data Science,38700.0,USD,3233772.0
Michigan Technological University,Michigan,United States,MS in Data Science,Data Science,29160.0,USD,2436609.6
Johns Hopkins University,Maryland,United States,MS in Data Science,Data Science,69124.0,USD,5776001.44
University of North Texas,Texas,United States,MS in Data Science,Data Science,16398.0,USD,1370216.88
University of North Texas,Texas,United States,MS in Advanced Data Analytics,Data Science,39540.0,USD,3303962.4
Technical University of Munich,Bavaria,Germany,MSc in Mathematics in Data Science,Data Science,12000.0,EUR,1072200.0
Technical University of Munich,Bavaria,Germany,MSc in Data Engineering and Analytics,Data Science,12000.0,EUR,1072200.0
Duke University,North Carolina,United States,Masters in Interdisciplinary Data Science,Data Science,65120.0,USD,5441427.2
Duke University,North Carolina,United States,MS in Statistical Science - Data Science and Analytics,Data Science,65120.0,USD,5441427.2
University of North Carolina at Chapel Hill,North Carolina,United States,"MS in  Statistics, Analytics and Data Science",Data Science,43160.0,USD,3606449.6
State University of New York at Binghamton,New York,United States,MS in Data Analytics,Data Science,29730.0,USD,2484238.8
