University Name,State,Country,Course Name,course,Average Fees (Per Year),Currency,Average Fees in INR
University of Southern California,California,United States,MS in Electrical Engineering,Electrical and Electronics,47469.0,USD,3966509.64
University of Texas at Austin,Texas,United States,MS in Master of Engineering,Electrical and Electronics,19786.0,USD,1653318.16
Pennsylvania State University,Pennsylvania,United States,MEng in Electrical Engineering,Electrical and Electronics,15105.0,USD,1262173.8
"University of California, Los Angeles",California,United States,MS in Electrical and Computer Engineering (Thesis),Electrical and Electronics,27366.0,USD,2286702.96
"University of Minnesota, Twin Cities",Minnesota,United States,MS in Electrical and Computer Engineering,Electrical and Electronics,46020.0,USD,3845431.2
Massachusetts Institute of Technology,Massachusetts,United States,MS in Electrical Engineering,Electrical and Electronics,,USD,
Michigan State University,Michigan,United States,MS in Electrical Engineering,Electrical and Electronics,47450.0,USD,3964922.0
McGill University,Montreal,Canada,MEng in Electrical Engineering,Electrical and Electronics,28362.0,CAD,1730082.0
Indiana University Bloomington,Indiana,United States,MS in Electrical and Computer Engineering,Electrical and Electronics,26098.0,USD,2180748.88
"California State University, Fullerton",California,United States,MS in Electrical Engineering,Electrical and Electronics,14445.0,USD,1207024.2
University of Windsor,Ontario,Canada,MASc in Electrical Engineering,Electrical and Electronics,23460.0,CAD,1431060.0
Boston University,Massachusetts,United States,MEng in Electrical Engineering,Electrical and Electronics,27120.0,USD,2266147.2
Santa Clara University,California,United States,MS in Electrical and Computer Engineering,Electrical and Electronics,2668.0,USD,222938.08
University of North Carolina at Chapel Hill,North Carolina,United States,MS in Electrical Engineering,Electrical and Electronics,,USD,
"California State University, Sacramento",California,United States,MS in Electrical and Electronic Engineering,Electrical and Electronics,20860.0,USD,1743061.6
University of Pittsburgh,Pennsylvania,United States,MS in Electrical and Computer Engineering,Electrical and Electronics,48594.0,USD,4060514.64
"University of California, Santa Cruz",California,United States,MS in Electrical And Electronics Engineering,Electrical and Electronics,14178.0,USD,1184713.68
University of Central Florida,Florida,United States,MS in Electrical Engineering,Electrical and Electronics,17910.0,USD,1496559.6
Princeton University,New Jersey,United States,MEng in Electrical Engineering,Electrical and Electronics,57410.0,USD,4797179.6
RWTH Aachen University,North Rhine-Westphilia,Germany,Masters in Electrical Engineering (Teaching),Electrical and Electronics,,EUR,
University of Connecticut,Connecticut,United States,MS in Electrical Engineering,Electrical and Electronics,46040.0,USD,3847102.4
"University of Massachusetts, Boston",Massachusetts,United States,MS in Electrical Engineering,Electrical and Electronics,,USD,
The University of Melbourne,Victoria,Australia,Masters in Electrical Engineering,Electrical and Electronics,55484.0,AUD,3092123.32
Kansas State University,Kansas,United States,MS in Electrical Engineering,Electrical and Electronics,20140.0,USD,1682898.4
Wayne State University,Michigan,United States,MS in Environmental and Sustainability Engineering,Electrical and Electronics,26610.0,USD,2223531.6
University of Saskatchewan,Saskatchewan,Canada,MEng in Electrical Engineering,Electrical and Electronics,11097.0,CAD,676917.0
University of Regina,Saskatchewan,Canada,MASc in Electronic Systems Engineering,Electrical and Electronics,26866.0,CAD,1638826.0
Bradley University,Illinois,United States,MS in Electrical Engineering,Electrical and Electronics,16335.0,USD,1364952.6
"Southern Illinois University, Edwardsville",Illinois,United States,MS in Electrical and Computer Engineering,Electrical and Electronics,15312.0,USD,1279470.72
RMIT University,Victoria,Australia,MEng in Electronic Engineering,Electrical and Electronics,44160.0,AUD,2461036.8
RMIT University,Victoria,Australia,MEng in Electrical and Electronic Engineering,Electrical and Electronics,44160.0,AUD,2461036.8
RMIT University,Victoria,Australia,MEng in Electrical & Electronic Engineering,Electrical and Electronics,39360.0,AUD,2193532.8
Dresden University of Technology,Sohag,Germany,MSc in Organic and Molecular Electronics,Electrical and Electronics,,EUR,
Dresden University of Technology,Sohag,Germany,MS in Electrical Engineering,Electrical and Electronics,,EUR,
The University of Edinburgh,Edinburgh,United Kingdom,MSc in Electronics,Electrical and Electronics,35300.0,GBP,3732622.0
University of Glasgow,Glasgow City,United Kingdom,MSc in  Electronics & Photonics Manufacturing,Electrical and Electronics,25750.0,GBP,2722805.0
University of Glasgow,Glasgow City,United Kingdom,MSc in Electronics and Electrical Engineering and Management,Electrical and Electronics,29370.0,GBP,3105583.8
University of Glasgow,Glasgow City,United Kingdom,MSc in Electronics and Electrical Engineering,Electrical and Electronics,31860.0,GBP,3368876.4
Friedrich-Alexander-Universität Erlangen-Nürnberg,Bavaria,Germany,MSc in Electromobility,Electrical and Electronics,,EUR,
"Oklahoma State University, Tulsa",Oklahoma,United States,MS in Electrical Engineering,Electrical and Electronics,17370.0,USD,1451437.2
California Polytechnic State University,California,United States,MS in Electrical Engineering,Electrical and Electronics,23196.0,USD,1938257.76
"California State Polytechnic University, Pomona",California,United States,MS in Electrical Engineering,Electrical and Electronics,14250.0,USD,1190730.0
University of Texas at Tyler,Texas,United States,MS in Electrical Engineering,Electrical and Electronics,21825.0,USD,1823697.0
University of Warwick,Coventry,United Kingdom,MSc in Electrical and Electronic Engineering,Electrical and Electronics,26590.0,GBP,2811626.6
Ecole Polytechnique Fédérale de Lausanne,Vaud,Switzerland,MSc in Electrical and Electronic Engineering,Electrical and Electronics,1460.0,CHF,136539.2
University of Leeds,Leeds,United Kingdom,MSc(Eng) in Electronic and Electrical Engineering,Electrical and Electronics,31000.0,GBP,3277940.0
"Curtin University, Perth",Western Australia,Australia,Masters in Electrical Utility Engineering,Electrical and Electronics,,AUD,
Pittsburg State University,Kansas,United States,Masters in Electronics Engineering,Electrical and Electronics,6122.0,USD,511554.32
The University of Auckland,Auckland,New Zealand,MEng in Electrical and Electronic Engineering,Electrical and Electronics,48622.0,NZ,2486042.86
Alcorn State University,Mississippi,United States,MS in Applied Science and Technology - Electrical and Electronics Engineering Technology,Electrical and Electronics,8586.0,USD,717446.16
Technical University of Kaiserslautern,Rhineland-Palatinate,Germany,Masters in Electrotechnology - Business Studies and Engineering,Electrical and Electronics,,EUR,
University of Mississippi,Mississippi,United States,MS in Electromagnetics,Electrical and Electronics,21900.0,USD,1829964.0
New Mexico State University,New Mexico,United States,MEng in Electrical Engineering,Electrical and Electronics,19032.0,USD,1590313.92
