University Name,State,Country,Course Name,course,Average Fees (Per Year),Currency,Average Fees in INR
"Northeastern University, Boston",Massachusetts,United States,MS in Electrical and Computer Engineering Leadership,Electrical and Computers,28800.0,USD,2406528.0
"Northeastern University, Boston",Massachusetts,United States,MS in Electrical and Computer Engineering,Electrical and Computers,29824.0,USD,2492093.44
University of Southern California,California,United States,MS in Electrical and Computer Engineering (Machine Learning and Data Science),Electrical and Computers,40688.0,USD,3399889.28
University of Southern California,California,United States,MS in Electrical and Computer Engineering- Machine learning and Data Science,Electrical and Computers,49259.0,USD,4116082.04
Georgia Institute of Technology,Georgia,United States,MS in Electrical and Computer Engineering,Electrical and Computers,28460.0,USD,2378117.6
University of Texas at Austin,Texas,United States,MS in Electrical and Computer Engineering,Electrical and Computers,21460.0,USD,1793197.6
Purdue University West Lafayette,Indiana,United States,MS in Electrical and Computer Engineering (Project Track),Electrical and Computers,27030.0,USD,2258626.8
Purdue University West Lafayette,Indiana,United States,MS in Electrical and Computer Engineering - Thesis Track,Electrical and Computers,27030.0,USD,2258626.8
University of Illinois at Chicago,Illinois,United States,MS in Electrical and Computer Engineering - Thesis,Electrical and Computers,23310.0,USD,1947783.6
Carnegie Mellon University,Pennsylvania,United States,MS in Electrical and Computer Engineering,Electrical and Computers,57436.0,USD,4799352.16
"University of California, San Diego",California,United States,MS in Electrical and Computer Engineering,Electrical and Computers,27366.0,USD,2286702.96
"University of Maryland, College Park",Maryland,United States,MS in Electrical and Computer Engineering,Electrical and Computers,36100.0,USD,3016516.0
"The University of British Columbia, Vancouver",British Columbia,Canada,MEng in Electrical and Computer Engineering,Electrical and Computers,25109.0,CAD,1531649.0
"The University of British Columbia, Vancouver",British Columbia,Canada,MASc in Electrical and Computer Engineering,Electrical and Computers,9690.0,CAD,591090.0
"University of Michigan, Ann Arbor",Michigan,United States,MS in Electrical and Computer Engineering,Electrical and Computers,108840.0,USD,9094670.4
"University of Michigan, Ann Arbor",Michigan,United States,MEng in Electrical and Computer Engineering,Electrical and Computers,94328.0,USD,7882047.68
