University Name,State,Country,Course Name,course,Average Fees (Per Year),Currency,Average Fees in INR
University of Toronto,Ontario,Canada,Masters in Accounting And Finance,Finance and Accounts,46861.0,CAD,2858521.0
"California State University, Fullerton",California,United States,MS in Accounting and Finance,Finance and Accounts,23560.0,USD,1968673.6
Santa Clara University,California,United States,Masters in Financial Accounting,Finance and Accounts,,USD,
The University of Melbourne,Victoria,Australia,Masters in Management (Accounting and Finance),Finance and Accounts,53825.0,AUD,2999667.25
Imperial College London,London,United Kingdom,MSc in Finance and Accounting,Finance and Accounts,39000.0,GBP,4123860.0
University of Oxford,Oxfordshire,United Kingdom,Masters in Accounting And Finance,Finance and Accounts,,GBP,
The University of Edinburgh,Edinburgh,United Kingdom,MSc in Accounting And Finance,Finance and Accounts,39500.0,GBP,4176730.0
Friedrich-Alexander-Universität Erlangen-Nürnberg,Bavaria,Germany,"Masters in Finance, Auditing, Controlling and Taxes",Finance and Accounts,,EUR,
The University of Adelaide,South Australia,Australia,Masters in Accounting and Finance,Finance and Accounts,49900.0,AUD,2780927.0
University of Warwick,Coventry,United Kingdom,MSc in Accounting And Finance,Finance and Accounts,40700.0,GBP,4303618.0
University of Leeds,Leeds,United Kingdom,MSc in Accounting And Finance,Finance and Accounts,34750.0,GBP,3674465.0
King's College London,London,United Kingdom,"MSc in Accounting, Accountability & Financial Management",Finance and Accounts,40140.0,GBP,4244403.6
La Trobe University,Melbourne,Australia,Masters in Professional Accounting,Finance and Accounts,39800.0,AUD,2218054.0
The University of Manchester,Manchester,United Kingdom,MSc in Accounting And Finance,Finance and Accounts,34500.0,GBP,3648030.0
Queen Mary University of London,London,United Kingdom,MSc in Accounting and Finance,Finance and Accounts,31850.0,GBP,3367819.0
Lancaster University,Lancashire,United Kingdom,MSc in Accounting and Financial Management,Finance and Accounts,31500.0,GBP,3330810.0
Cardiff University,Cardiff,United Kingdom,MSc in Accounting And Finance,Finance and Accounts,29200.0,GBP,3087608.0
Lund University,Sk'ne l'n,Sweden,MS in Accounting and Finance,Finance and Accounts,120000.0,SEK,954000.0
