University Name,State,Country,Course Name,course,Average Fees (Per Year),Currency,Average Fees in INR
New York University,New York,United States,MA in International Relations,International Relations,41480.0,USD,3466068.8
"University of California, San Diego",California,United States,Masters in International Affairs,International Relations,24509.0,USD,2047972.04
"University of California, San Diego",California,United States,Masters in Advanced Studies International Affairs,International Relations,,USD,
Arizona State University,Arizona,United States,Masters in Global Management (Sustainability Solutions),International Relations,35000.0,USD,2924600.0
Arizona State University,Arizona,United States,Masters in Global Management,International Relations,35000.0,USD,2924600.0
Arizona State University,Arizona,United States,MGM in Global Management (Digital Audience Strategy),International Relations,35000.0,USD,2924600.0
Arizona State University,Arizona,United States,Masters in Global Management (Global Digital Transformation),International Relations,35000.0,USD,2924600.0
Arizona State University,Arizona,United States,MGM in Global Management (Integrated Health Care),International Relations,35000.0,USD,2924600.0
Arizona State University,Arizona,United States,MGM in Global Management (Global Affairs),International Relations,35000.0,USD,2924600.0
Arizona State University,Arizona,United States,MGM in Global Management (Nonprofit Leadership and Management),International Relations,35000.0,USD,2924600.0
Arizona State University,Arizona,United States,Masters in Global Management (Sustainable Tourism),International Relations,35000.0,USD,2924600.0
Arizona State University,Arizona,United States,Masters in Global Management (Global Development and Innovation),International Relations,35000.0,USD,2924600.0
Arizona State University,Arizona,United States,Masters in International Affairs and Leadership,International Relations,26460.0,USD,2210997.6
Illinois Institute of Technology,Illinois,United States,Masters in International Affairs and Global Enterprise,International Relations,,USD,
Pennsylvania State University,Pennsylvania,United States,Masters in International Affairs,International Relations,41602.0,USD,3476263.12
Syracuse University,New York,United States,MA in International Relations,International Relations,56301.0,USD,4704511.56
University of Wisconsin-Madison,Wisconsin,United States,Masters in International Relations,International Relations,34094.0,USD,2848894.64
Johns Hopkins University,Maryland,United States,MA in International Affairs,International Relations,42560.0,USD,3556313.6
University of Ottawa,Ottawa,Canada,MA in Public and International Affairs,International Relations,25719.0,CAD,1568859.0
York University,Toronto,Canada,Masters in International and Public Affairs,International Relations,15688.0,CAD,956968.0
The George Washington University,District of Columbia,United States,MA in International Affairs,International Relations,43600.0,USD,3643216.0
Florida State University,Florida,United States,MS in International Affairs,International Relations,35000.0,USD,2924600.0
State University of New York (Albany),New York,United States,Masters in International Affairs,International Relations,,USD,
"University of Massachusetts, Boston",Massachusetts,United States,Masters in International Relations,International Relations,35980.0,USD,3006488.8
The University of Melbourne,Victoria,Australia,MC-IR in International Relations,International Relations,39032.0,AUD,2175253.36
The University of Chicago,Illinois,United States,MA in International Relations,International Relations,65145.0,USD,5443516.2
San Francisco State University,California,United States,MA in International Relations,International Relations,17903.0,USD,1495974.68
University of Massachusetts Lowell,Massachusetts,United States,Masters in International Relations,International Relations,,USD,
Florida International University,Florida,United States,MA in International Relations,International Relations,18036.0,USD,1507088.16
DePaul University,Illinois,United States,MS in International Public Service,International Relations,19318.0,USD,1614212.08
Monash University,Victoria,Australia,Masters in International Relations,International Relations,37900.0,AUD,2112167.0
Monash University,Victoria,Australia,Masters in International Relations and Journalism,International Relations,37900.0,AUD,2112167.0
Monash University,Victoria,Australia,Masters in International Development and Environmental Analysis,International Relations,46700.0,AUD,2602591.0
Memorial University of Newfoundland,Newfoundland & Labrador,Canada,Masters in Employment Relations,International Relations,4833.0,CAD,294813.0
University of Cambridge,Cambridgeshire,United Kingdom,MSt in International Relations,International Relations,16302.0,GBP,1723773.48
"Deakin University, Melbourne",Victoria,Australia,Masters in International Relations,International Relations,33800.0,AUD,1883674.0
The University of Sydney,New South Wales,Australia,Masters in International Relations,International Relations,47500.0,AUD,2647175.0
Dresden University of Technology,Sohag,Germany,Masters in International Relations,International Relations,,EUR,
The University of Edinburgh,Edinburgh,United Kingdom,MSc in International Relations,International Relations,28800.0,GBP,3045312.0
The University of Edinburgh,Edinburgh,United Kingdom,MA in International Relations and International Law,International Relations,23100.0,GBP,2442594.0
University of Edinburgh,Edinburgh,United Kingdom,MA in International Relations,International Relations,23100.0,GBP,2442594.0
University of Glasgow,Glasgow City,United Kingdom,MSc in International Relations,International Relations,23520.0,GBP,2487004.8
The University of Queensland,Queensland,Australia,Masters in International Relations,International Relations,31744.0,AUD,1769093.12
Australian National University,Australian Capital Territory,Australia,Masters in International Relations,International Relations,49330.0,AUD,2749160.9
"The City College of New York, CCNY",New York,United States,Masters in International Affairs,International Relations,,USD,
University of Warwick,Coventry,United Kingdom,MA in International Relations,International Relations,26590.0,GBP,2811626.6
University of Leeds,Leeds,United Kingdom,MA in International Relations,International Relations,22250.0,GBP,2352715.0
"Curtin University, Perth",Western Australia,Australia,Masters in  International Relations and National Security,International Relations,30450.0,AUD,1696978.5
The University of Auckland,Auckland,New Zealand,MA in Politics and International Relations,International Relations,37891.0,NZ,1937366.83
University of Northern British Columbia,British Columbia,Canada,Masters in Regional Relations,International Relations,,CAD,
King's College London,London,United Kingdom,MA in International Relations,International Relations,33258.0,GBP,3516700.92
La Trobe University,Melbourne,Australia,Masters in International Relations,International Relations,35800.0,AUD,1995134.0
The University of Manchester,Manchester,United Kingdom,MA in International Relations,International Relations,26000.0,GBP,2749240.0
University of Bath,Bath and North East Somerset,United Kingdom,MA in International Relations,International Relations,21500.0,GBP,2273410.0
Macquarie University,New South Wales,Australia,Masters in International Public Diplomacy,International Relations,,AUD,
Macquarie University,New South Wales,Australia,Masters in International Relations,International Relations,41400.0,AUD,2307222.0
Queen Mary University of London,London,United Kingdom,MA in International Relations,International Relations,22250.0,GBP,2352715.0
Humboldt University of Berlin,Berlin,Germany,Masters in International Relations,International Relations,,EUR,
London School of Economics and Political Science,London,United Kingdom,MSc in International Relations,International Relations,27816.0,GBP,2941263.84
University of Canterbury,Canterbury,New Zealand,Masters in International Relations and Diplomacy,International Relations,43500.0,NZ,2224155.0
The University of Western Australia,Western Australia,Australia,MS in International Relations,International Relations,45067.0,AUD,2511583.91
Baruch College - The City University of New York,New York,United States,Masters in International Affairs,International Relations,21210.0,USD,1772307.6
University of Central Oklahoma,Oklahoma,United States,Masters in International Affairs,International Relations,,USD,
University of Groningen,Groningen,Netherlands,MA in Geopolitics & Connectivity,International Relations,14300.0,EUR,1277705.0
University of Groningen,Groningen,Netherlands,MA in International Relations and International Organization,International Relations,18700.0,EUR,1670845.0
University of Groningen,Groningen,Netherlands,MA in International Relations (60 ECTS),International Relations,13216.0,EUR,1180849.6
University of Groningen,Groningen,Netherlands,MA in International Humanitarian Action,International Relations,18500.0,EUR,1652975.0
University of Birmingham,Birmingham,United Kingdom,MA in International Relations,International Relations,24120.0,GBP,2550448.8
Griffith University,Queensland,Australia,Masters in International Relations,International Relations,30500.0,AUD,1699765.0
Lancaster University,Lancashire,United Kingdom,LLM in International Human Rights Law,International Relations,21000.0,GBP,2220540.0
Lancaster University,Lancashire,United Kingdom,MA in International Relations,International Relations,21000.0,GBP,2220540.0
Cardiff University,Cardiff,United Kingdom,MA in International Public Relations and Global Communications Management,International Relations,20450.0,GBP,2162383.0
HEC Montréal,Quebec,Canada,M. Sc. in International Affairs,International Relations,13750.0,CAD,838750.0
Loughborough University,Leicestershire,United Kingdom,MA in International Security,International Relations,20800.0,GBP,2199392.0
University of Tasmania,Tasmania,Australia,Masters in International Politics,International Relations,,AUD,
Fairfax University of America,Virginia,United States,Masters in International Relations,International Relations,,USD,
Baylor University,Texas,United States,MA in International Relations,International Relations,43578.0,USD,3641377.68
University of Liverpool,Liverpool,United Kingdom,Masters in International Relations and Security,International Relations,20400.0,GBP,2157096.0
The University of Sheffield,Sheffield,United Kingdom,MA in International Relations and East Asia,International Relations,20950.0,GBP,2215253.0
The University of Sheffield,Sheffield,United Kingdom,MA in International Relations,International Relations,23760.0,GBP,2512382.4
The University of Sheffield,Sheffield,United Kingdom,MA in International Public and Political Communication,International Relations,23200.0,GBP,2453168.0
Troy University,Alabama,United States,Masters in International Relations,International Relations,,USD,
Newcastle University,Newcastle upon Tyne,United Kingdom,MA in International Relations,International Relations,21600.0,GBP,2283984.0
Newcastle University,Newcastle upon Tyne,United Kingdom,Masters in International Relations,International Relations,20400.0,GBP,2157096.0
University of Strathclyde,Glasgow City,United Kingdom,MSc in International Relations,International Relations,17400.0,GBP,1839876.0
Kingston University London,Kingston upon Thames,United Kingdom,MSc in International Relations,International Relations,15400.0,GBP,1628396.0
Massey University,Manawatu-Wanganui,New Zealand,MA in Politics and International Relations,International Relations,32667.0,NZ,1670263.71
Marquette University,Wisconsin,United States,Masters in International Affairs,International Relations,19425.0,USD,1623153.0
Utrecht University,Utrecht,Netherlands,MA in International Relations in Historical Perspective,International Relations,20043.0,EUR,1790842.05
Flinders University,South Australia,Australia,Masters in International Relations,International Relations,33900.0,AUD,1889247.0
University of South Dakota,South Dakota,United States,Masters in International Relations,International Relations,,USD,
University of Leicester,Leicester,United Kingdom,MA in International Relations,International Relations,16850.0,GBP,1781719.0
University of North Florida,Florida,United States,Masters in International Affairs,International Relations,,USD,
University of Potsdam,Brandenburg,Germany,Masters in International Relations,International Relations,,EUR,
Constructor University,Bremen,Germany,MA in International Relations,International Relations,,EUR,
American University,Washington,United States,MA in International Economic Relations,International Relations,34596.0,USD,2890841.76
University of Nottingham,Nottingham,United Kingdom,MA in International Relations,International Relations,21000.0,GBP,2220540.0
Brunel University,London,United Kingdom,MA in International Relations,International Relations,23615.0,GBP,2497050.1
Victoria University of Wellington,Wellington,New Zealand,MIR in International Relations,International Relations,48200.0,NZ,2464466.0
University of Bristol,Bristol,United Kingdom,MSc in International Relations,International Relations,25400.0,GBP,2685796.0
University of Bristol,Bristol,United Kingdom,MSc in Gender and International Relations,International Relations,21200.0,GBP,2241688.0
Murdoch University,Western Australia,Australia,Masters in International Affairs,International Relations,,AUD,
Queen's University Belfast,Belfast,United Kingdom,MSc in International Relations,International Relations,16400.0,GBP,1734136.0
Queen's University Belfast,Belfast,United Kingdom,PGDip in International Relations,International Relations,12133.0,GBP,1282943.42
Erasmus University Rotterdam,South Holland,Netherlands,Masters in International Trade Law,International Relations,13500.0,EUR,1206225.0
Middle Tennessee State University,Tennessee,United States,Masters in International Affairs,International Relations,,USD,
Leiden University,South Holland,Netherlands,MSc in International Relations and Diplomacy,International Relations,19750.0,EUR,1764662.5
Leiden University,South Holland,Netherlands,MA in International Relations,International Relations,18800.0,EUR,1679780.0
University of York,York,United Kingdom,Masters in International Relations,International Relations,19950.0,GBP,2109513.0
University of Exeter,Devon,United Kingdom,MSc in International Relations,International Relations,20500.0,GBP,2167670.0
Webster University,Missouri,United States,MA in International Relations,International Relations,13140.0,USD,1097978.4
"Royal Holloway, University of London",Surrey,United Kingdom,MSc in International Public Policy,International Relations,17600.0,GBP,1861024.0
Oxford Brookes University,Oxfordshire,United Kingdom,Masters in International Relations,International Relations,15700.0,GBP,1660118.0
Oxford Brookes University,Oxfordshire,United Kingdom,Masters in International Security,International Relations,15800.0,GBP,1670692.0
Aston University,Birmingham,United Kingdom,MSc in International Relations,International Relations,22750.0,GBP,2405585.0
Durham University,Durham,United Kingdom,MA in International Relations,International Relations,25500.0,GBP,2696370.0
