University Name,State,Country,Course Name,course,Average Fees (Per Year),Currency,Average Fees in INR
"Texas A&M University, College Station",Texas,United States,MSc in Psychological Science,Psychology,24129.0,USD,2016219.24
The University of Texas at Dallas,Texas,United States,MS in Psychology,Psychology,44766.0,USD,3740646.96
Georgia Institute of Technology,Georgia,United States,MS in Psychology,Psychology,15285.0,USD,1277214.6
University at Buffalo SUNY,New York,United States,MA in Psychology,Psychology,23100.0,USD,1930236.0
The University of Texas at Arlington,Texas,United States,MS in Psychology,Psychology,23161.0,USD,1935333.16
New York University,New York,United States,MA in Psychology,Psychology,37332.0,USD,3119461.92
San Jose State University,California,United States,MA in Research and Experimental Psychology,Psychology,14760.0,USD,1233345.6
University of Illinois at Chicago,Illinois,United States,MS in Psycology,Psychology,12369.0,USD,1033553.64
University of Illinois at Chicago,Illinois,United States,MA in Psychology,Psychology,16896.0,USD,1411829.76
"University of Maryland, College Park",Maryland,United States,Masters in Clinical Psychological Science,Psychology,24330.0,USD,2033014.8
"The University of British Columbia, Vancouver",British Columbia,Canada,MA in Psychology,Psychology,9500.0,CAD,579500.0
Arizona State University,Arizona,United States,MS in Psychology,Psychology,27792.0,USD,2322299.52
University of North Carolina at Charlotte,North Carolina,United States,MA in Psychology,Psychology,20520.0,USD,1714651.2
University of North Carolina at Charlotte,North Carolina,United States,MA in Industrial/Organizational Psychology,Psychology,15903.0,USD,1328854.68
"University of Michigan, Ann Arbor",Michigan,United States,MS in Psychology,Psychology,22980.0,USD,1920208.8
Pennsylvania State University,Pennsylvania,United States,MS in Psychology,Psychology,44996.0,USD,3759865.76
"University of California, Los Angeles",California,United States,MA in Psychology,Psychology,33238.0,USD,2777367.28
University of Pennsylvania,Pennsylvania,United States,MA in Psychology,Psychology,7282.0,USD,608483.92
University of Toronto,Ontario,Canada,MA in Psychology,Psychology,12050.0,CAD,735050.0
Virginia Tech,Virginia,United States,MS in Psychology,Psychology,,USD,
Stony Brook University,New York,United States,MA in Psychology,Psychology,28890.0,USD,2414048.4
University of Cincinnati,Ohio,United States,MA in Psychology,Psychology,19995.0,USD,1670782.2
University of Waterloo,Ontario,Canada,MA in Psychology,Psychology,23088.0,CAD,1408368.0
University of Colorado Boulder,Colorado,United States,Masters in Psychology,Psychology,,USD,
University of South Florida,Florida,United States,MA in  Psychological Sciences,Psychology,21144.0,USD,1766792.64
University of Wisconsin-Madison,Wisconsin,United States,MS in Psychology,Psychology,25548.0,USD,2134790.88
"University of California, Davis",California,United States,MS in Psychology,Psychology,26544.0,USD,2218016.64
Michigan State University,Michigan,United States,MS in Psychology,Psychology,29904.0,USD,2498778.24
McGill University,Montreal,Canada,Masters in Arts: Psychology,Psychology,31455.0,CAD,1918755.0
San Diego State University,California,United States,MS in Applied Psychology,Psychology,18696.0,USD,1562237.76
San Diego State University,California,United States,MS in Applied  Psychology,Psychology,16698.0,USD,1395284.88
San Diego State University,California,United States,Masters in Psychology,Psychology,14760.0,USD,1233345.6
"University of Maryland, Baltimore County",Maryland,United States,Masters in Human Services Psychology: Applied Behavior Analysis,Psychology,21618.0,USD,1806400.08
Georgia State University,Georgia,United States,Masters in Psychology,Psychology,,USD,
"California State University, Fullerton",California,United States,MA in Psychological Research,Psychology,17334.0,USD,1448429.04
George Mason University,Virginia,United States,MA in Psychology - Applied Developmental Psychology,Psychology,22290.0,USD,1862552.4
University of Alberta,Alberta,Canada,MA in Psychology,Psychology,8874.0,CAD,541314.0
Clemson University,South Carolina,United States,Masters in Psychology,Psychology,27510.0,USD,2298735.6
University of Windsor,Ontario,Canada,MA in Clinical Psychology,Psychology,22995.0,CAD,1402695.0
University of Arizona,Arizona,United States,MA in Educational Psychology,Psychology,26910.0,USD,2248599.6
Boston University,Massachusetts,United States,MA in Psychology,Psychology,63798.0,USD,5330960.88
Iowa State University,Iowa,United States,MS in Psychology,Psychology,33000.0,USD,2757480.0
Concordia University,Montreal,Canada,MA in Psychology,Psychology,15233.0,CAD,929213.0
"California State University, Los Angeles",California,United States,MA in Psychology,Psychology,11470.0,USD,958433.2
Texas A&M University - Kingsville,Texas,United States,MS in Psychology,Psychology,14346.0,USD,1198751.76
University of North Carolina at Chapel Hill,North Carolina,United States,Masters in Psychology,Psychology,,USD,
Simon Fraser University,British Columbia,Canada,MA in Psychology,Psychology,6198.0,CAD,378078.0
Texas Tech University,Texas,United States,MEd in Educational Psychology,Psychology,18407.0,USD,1538088.92
University of Dayton,Ohio,United States,MA in Psychology,Psychology,15075.0,USD,1259667.0
Cleveland State University,Ohio,United States,MA in Psychology - Industrial-Organizational Research,Psychology,25038.0,USD,2092175.28
Cleveland State University,Ohio,United States,MA in Clinical Psychology,Psychology,32100.0,USD,2682276.0
State University of New York at Binghamton,New York,United States,"Masters in Psychology, Behavioral Neuroscience",Psychology,,USD,
"University of Michigan, Dearborn",Michigan,United States,MS in Psychology-Clinical Health Psychology,Psychology,23040.0,USD,1925222.4
Queen's University,Kingston,Canada,MSc in Psychology,Psychology,12927.0,CAD,788547.0
Carleton University,Ottawa,Canada,MA in Psychology,Psychology,18463.0,CAD,1126243.0
"California State University, Sacramento",California,United States,MA in Psychology,Psychology,14760.0,USD,1233345.6
University of Pittsburgh,Pennsylvania,United States,MS in Psychology,Psychology,43804.0,USD,3660262.24
University of Calgary,Alberta,Canada,MS in Psychology,Psychology,5605.0,CAD,341905.0
University of Calgary,Alberta,Canada,MSc (Thesis) in Psychology,Psychology,8040.0,CAD,490440.0
