University Name,State,Country,Course Name,course,Average Fees (Per Year),Currency,Average Fees in INR
"Northeastern University, Boston",Massachusetts,United States,MPH in Public Health,Public health,38100.0,USD,3183636.0
"Texas A&M University, College Station",Texas,United States,Masters in Public Health,Public health,15492.0,USD,1294511.52
University of Southern California,California,United States,Masters in Public Health,Public health,53403.0,USD,4462354.68
The University of Texas at Arlington,Texas,United States,Masters in Public Health,Public health,23486.0,USD,1962490.16
New York University,New York,United States,Masters in Public Health,Public health,46529.0,USD,3887963.24
New York University,New York,United States,MPH in Epidemiology,Public health,51267.0,USD,4283870.52
San Jose State University,California,United States,MPH in Public Health,Public health,20664.0,USD,1726683.84
University of Illinois at Chicago,Illinois,United States,MPH in Public Health,Public health,29256.0,USD,2444631.36
"University of Maryland, College Park",Maryland,United States,MPH in Epidemiology,Public health,41513.0,USD,3468826.28
"The University of British Columbia, Vancouver",British Columbia,Canada,Masters in Public Health,Public health,20525.0,CAD,1252025.0
"The University of British Columbia, Vancouver",British Columbia,Canada,MSc in Population and Public Health,Public health,9313.0,CAD,568093.0
Arizona State University,Arizona,United States,MA in Global Health,Public health,23160.0,USD,1935249.6
University of North Carolina at Charlotte,North Carolina,United States,MPH in Public Health,Public health,24525.0,USD,2049309.0
"University of Michigan, Ann Arbor",Michigan,United States,Masters in Public Health,Public health,103410.0,USD,8640939.6
Illinois Institute of Technology,Illinois,United States,Masters in Dental Public Health,Public health,,USD,
University of Florida,Florida,United States,Masters in Public Health,Public health,32684.0,USD,2731075.04
Columbia University,New York,United States,MPH in Public Health,Public health,45214.0,USD,3778081.84
University of Illinois at Urbana-Champaign,Illinois,United States,MPH in Public Health,Public health,32760.0,USD,2737425.6
"University of California, Berkeley",California,United States,Masters in Public Health,Public health,23944.0,USD,2000760.64
Pennsylvania State University,Pennsylvania,United States,Masters in Public Health,Public health,65806.0,USD,5498749.36
"University of California, Los Angeles",California,United States,MPH in Public Health for Health Professionals,Public health,38024.0,USD,3177285.44
"University of Minnesota, Twin Cities",Minnesota,United States,MPH in Public Health - Epidemiology,Public health,34920.0,USD,2917915.2
University of Pennsylvania,Pennsylvania,United States,Masters in Public Health,Public health,33978.0,USD,2839201.68
University of Washington,Washington,United States,MPH in Global Health,Public health,41331.0,USD,3453618.36
"Rutgers University, New Brunswick",New Jersey,United States,Masters in Public Health,Public health,33390.0,USD,2790068.4
University of Toronto,Ontario,Canada,MPH in Public Health,Public health,30195.0,CAD,1841895.0
Virginia Tech,Virginia,United States,MPH in Public Health,Public health,35805.0,USD,2991865.8
Stony Brook University,New York,United States,Masters in Public Health,Public health,27540.0,USD,2301242.4
University of Cincinnati,Ohio,United States,Masters in Public Health,Public health,27993.0,USD,2339095.08
University of Waterloo,Ontario,Canada,MSc in Public Health Sciences,Public health,25537.0,CAD,1557757.0
University of Waterloo,Ontario,Canada,Masters in Public Health,Public health,32478.0,CAD,1981158.0
University of Massachusetts Amherst,Massachusetts,United States,MPH in Public Health: Epidemiology,Public health,31122.0,USD,2600554.32
Cornell University,New York,United States,MPH in Public Health,Public health,42688.0,USD,3567009.28
University of South Florida,Florida,United States,MPH in Public Health,Public health,18501.0,USD,1545943.56
University of South Florida,Florida,United States,MS in Public Health,Public health,19733.0,USD,1648889.48
University of Wisconsin-Madison,Wisconsin,United States,MPH in Public Health,Public health,25578.0,USD,2137297.68
"University of California, Davis",California,United States,MPH in Public Health,Public health,27366.0,USD,2286702.96
Michigan State University,Michigan,United States,Masters in Public Health,Public health,,USD,
McGill University,Montreal,Canada,MSc in Public Health,Public health,28362.0,CAD,1730082.0
San Diego State University,California,United States,Masters in Public Health and Social Work,Public health,,USD,
San Diego State University,California,United States,Masters in Public Health,Public health,,USD,
Ohio State University,Ohio,United States,MPH in Public Health,Public health,43428.0,USD,3628843.68
Georgia State University,Georgia,United States,Masters in Public Health,Public health,27006.0,USD,2256621.36
"California State University, Fullerton",California,United States,Masters in Public Health,Public health,23112.0,USD,1931238.72
"California State University, Long Beach",California,United States,Masters in Public Health,Public health,20223.0,USD,1689833.88
George Mason University,Virginia,United States,Masters in Public Health,Public health,32403.0,USD,2707594.68
George Mason University,Virginia,United States,MS in Global Health,Public health,32130.0,USD,2684782.8
University of Alberta,Alberta,Canada,MPH in General Public Health,Public health,15120.0,CAD,922320.0
Clemson University,South Carolina,United States,Masters in Public Health,Public health,,USD,
University of Arizona,Arizona,United States,Masters in Public Health,Public health,37674.0,USD,3148039.44
Boston University,Massachusetts,United States,Masters in Public Health,Public health,71964.0,USD,6013311.84
Iowa State University,Iowa,United States,Masters in Public Health,Public health,,USD,
Harvard University,Massachusetts,United States,MPH in Public Health,Public health,69300.0,USD,5790708.0
"California State University, Los Angeles",California,United States,MPH in Public Health,Public health,11025.0,USD,921249.0
Johns Hopkins University,Maryland,United States,Masters in Public Health,Public health,82440.0,USD,6888686.4
University of Ottawa,Ottawa,Canada,Masters in Public Health,Public health,31579.0,CAD,1926319.0
University of North Carolina at Chapel Hill,North Carolina,United States,Masters in Public Health,Public health,41937.0,USD,3504255.72
University of North Carolina at Chapel Hill,North Carolina,United States,MS in Public Health Leadership,Public health,36824.0,USD,3077013.44
Simon Fraser University,British Columbia,Canada,Masters in Public Health,Public health,7659.0,CAD,467199.0
Cleveland State University,Ohio,United States,MPH in Public Health,Public health,23128.0,USD,1932575.68
"University of Michigan, Dearborn",Michigan,United States,Masters in Public Health,Public health,53084.0,USD,4435699.04
Queen's University,Kingston,Canada,MPH in Public Health,Public health,29346.0,CAD,1790106.0
"California State University, Sacramento",California,United States,MS in Public Health,Public health,13650.0,USD,1140594.0
University of Pittsburgh,Pennsylvania,United States,Masters in Community Based Public Health and Health Equity,Public health,,USD,
University of Pittsburgh,Pennsylvania,United States,MS in  Health Services Research and Policy,Public health,49662.0,USD,4149756.72
University of Pittsburgh,Pennsylvania,United States,MPH in Behavioral and Community Health Sciences,Public health,49662.0,USD,4149756.72
University of Pittsburgh,Pennsylvania,United States,MPH in Epidemiology,Public health,51400.0,USD,4294984.0
Oklahoma State University - Stillwater,Oklahoma,United States,MPH in Public Health,Public health,18459.0,USD,1542434.04
McMaster University,Hamilton,Canada,MPH in Public Health,Public health,50119.0,CAD,3057259.0
McMaster University,Hamilton,Canada,M.Sc in Health Research Methodology,Public health,15468.0,CAD,943548.0
