University Name,Address,lat,long,geometry
"Northeastern University, Boston","Northeastern University, Boston, Massachusetts, United States",42.33907025,-71.08783833987422,POINT (-71.08783833987422 42.33907025)
University of Southern California,"University of Southern California, California, United States",34.020919,-118.285743,POINT (-118.285743 34.020919)
University at Buffalo SUNY,"University at Buffalo SUNY, New York, United States",43.00188805,-78.78521350495271,POINT (-78.78521350495271 43.00188805)
San Jose State University,"San Jose State University, California, United States",37.336793,-121.883572,POINT (-121.883572 37.336793)
Carnegie Mellon University,"Carnegie Mellon University, Pennsylvania, United States",40.796335,-77.865077,POINT (-77.865077 40.796335)
Illinois Institute of Technology,"Illinois Institute of Technology, Illinois, United States",41.832237,-88.095335,POINT (-88.095335 41.832237)
University of Florida,"University of Florida, Florida, United States",29.750244,-82.347051,POINT (-82.347051 29.750244)
"University of California, Los Angeles","University of California, Los Angeles, California, United States",34.02186895,-118.285857923125,POINT (-118.285857923125 34.02186895)
University of Toronto,"University of Toronto, Ontario, Canada",43.663461999999996,-79.39775966248058,POINT (-79.39775966248058 43.663461999999996)
Stony Brook University,"Stony Brook University, New York, United States",40.919156,-73.129346,POINT (-73.129346 40.919156)
University of Cincinnati,"University of Cincinnati, Ohio, United States",39.1318613,-84.51576195582436,POINT (-84.51576195582436 39.1318613)
New Jersey Institute of Technology,"New Jersey Institute of Technology, New Jersey, United States",40.1853951,-74.06068461018864,POINT (-74.06068461018864 40.1853951)
Rochester Institute of Technology,"Rochester Institute of Technology, New York, United States",40.747111,-73.995145,POINT (-73.995145 40.747111)
Stevens Institute of Technology,"Stevens Institute of Technology, New Jersey, United States",40.747111,-73.995145,POINT (-73.995145 40.747111)
Northwestern University,"Northwestern University, Illinois, United States",42.050724,-87.673937,POINT (-87.673937 42.050724)
Boston University,"Boston University, Massachusetts, United States",41.500293,-81.536607,POINT (-81.536607 41.500293)
Iowa State University,"Iowa State University, Iowa, United States",42.038658,-93.668974,POINT (-93.668974 42.038658)
University of North Texas,"University of North Texas, Texas, United States",30.284593,-97.734812,POINT (-97.734812 30.284593)
Duke University,"Duke University, North Carolina, United States",35.3239146,-80.76708485190528,POINT (-80.76708485190528 35.3239146)
"University of Michigan, Dearborn","University of Michigan, Dearborn, Michigan, United States",42.3172294,-83.23193935538828,POINT (-83.23193935538828 42.3172294)
York University,"York University, Toronto, Canada",43.7743325,-79.50027054016516,POINT (-79.50027054016516 43.7743325)
Oregon State University,"Oregon State University, Oregon, United States",42.18556,-122.69306,POINT (-122.69306 42.18556)
Toronto Metropolitan University,"Toronto Metropolitan University, Toronto, Canada",43.658534200000005,-79.37846742853738,POINT (-79.37846742853738 43.658534200000005)
Worcester Polytechnic Institute,"Worcester Polytechnic Institute, Massachusetts, United States",42.274315,-71.80845674552586,POINT (-71.80845674552586 42.274315)
San Francisco State University,"San Francisco State University, California, United States",37.723739,-122.47935,POINT (-122.47935 37.723739)
Wayne State University,"Wayne State University, Michigan, United States",42.35720515,-83.07094978691399,POINT (-83.07094978691399 42.35720515)
